Grayscale intensity, in dB

Time (s) :	Trace 1 : 	Trace 2 : 	Trace 3 : 		Ecg : 		
1.17427   	-2.90296e+01	-4.43328e+01	-2.82173e+01		         0.10833	1.10000e+01	
1.19233   	-2.79585e+01	-4.32414e+01	-2.91797e+01		         0.11000	1.10000e+01	
1.21039   	-2.62685e+01	-4.35568e+01	-2.81883e+01		         0.11167	1.10000e+01	
1.22845   	-2.39846e+01	-4.55629e+01	-2.87231e+01		         0.11333	1.10000e+01	
1.24651   	-2.44554e+01	-4.58763e+01	-2.89370e+01		         0.11500	1.10000e+01	
1.26457   	-2.41632e+01	-4.51620e+01	-2.96908e+01		         0.11667	1.10000e+01	
1.28262   	-2.45447e+01	-4.40362e+01	-3.01290e+01		         0.11833	1.10000e+01	
1.30069   	-2.45794e+01	-4.09728e+01	-2.81035e+01		         0.12000	1.20000e+01	
1.31874   	-2.54564e+01	-3.90852e+01	-3.11047e+01		         0.12167	1.30000e+01	
1.33680   	-2.47021e+01	-3.49998e+01	-3.23236e+01		         0.12333	1.40000e+01	
1.35485   	-2.45900e+01	-3.37502e+01	-3.35913e+01		         0.12500	1.40000e+01	
1.37330   	-2.42221e+01	-3.56565e+01	-3.32762e+01		         0.12667	1.50000e+01	
1.39097   	-2.41402e+01	-3.55334e+01	-3.41224e+01		         0.12833	1.60000e+01	
1.40904   	-2.42085e+01	-3.57600e+01	-3.27809e+01		         0.13000	1.70000e+01	
1.42709   	-2.43621e+01	-3.58647e+01	-3.20320e+01		         0.13167	1.80000e+01	
1.44515   	-2.42655e+01	-3.61855e+01	-3.24307e+01		         0.13333	1.90000e+01	
1.46320   	-2.26572e+01	-3.58707e+01	-3.33981e+01		         0.13500	1.90000e+01	
1.48127   	-1.83576e+01	-3.63182e+01	-3.36004e+01		         0.13667	2.00000e+01	
1.49932   	-1.72921e+01	-3.81645e+01	-3.45163e+01		         0.13833	2.10000e+01	
1.51738   	-1.82365e+01	-3.83268e+01	-3.51691e+01		         0.14000	2.10000e+01	
1.53544   	-1.91828e+01	-3.96181e+01	-3.62731e+01		         0.14167	2.10000e+01	
1.55349   	-1.97289e+01	-3.93067e+01	-3.59384e+01		         0.14333	2.20000e+01	
1.57155   	-2.18348e+01	-3.93793e+01	-3.63670e+01		         0.14500	2.20000e+01	
1.58961   	-2.26459e+01	-3.97484e+01	-3.56838e+01		         0.14667	2.30000e+01	
1.60767   	-2.54460e+01	-3.97938e+01	-3.52088e+01		         0.14833	2.30000e+01	
1.62574   	-2.83276e+01	-3.81035e+01	-3.66689e+01		         0.15000	2.30000e+01	
1.64379   	-2.76797e+01	-3.63983e+01	-3.80358e+01		         0.15167	2.40000e+01	
1.66185   	-2.62221e+01	-3.53140e+01	-3.57092e+01		         0.15333	2.40000e+01	
1.67990   	-2.49084e+01	-3.53585e+01	-3.27722e+01		         0.15500	2.40000e+01	
1.69796   	-2.43240e+01	-3.46043e+01	-3.45682e+01		         0.15667	2.40000e+01	
1.71602   	-2.40097e+01	-3.43034e+01	-3.39903e+01		         0.15833	2.50000e+01	
1.73408   	-2.44153e+01	-3.43636e+01	-3.49147e+01		         0.16000	2.50000e+01	
1.75213   	-2.46307e+01	-3.61833e+01	-3.38094e+01		         0.16167	2.50000e+01	
1.77020   	-2.48898e+01	-3.50541e+01	-3.03347e+01		         0.16333	2.50000e+01	
1.78859   	-2.44445e+01	-3.57402e+01	-3.06060e+01		         0.16500	2.60000e+01	
1.80631   	-2.61619e+01	-3.70737e+01	-3.18028e+01		         0.16667	2.70000e+01	
1.82437   	-2.70045e+01	-3.91850e+01	-3.08965e+01		         0.16833	2.70000e+01	
1.84243   	-2.73615e+01	-4.07985e+01	-3.32648e+01		         0.17000	2.80000e+01	
1.86049   	-2.81615e+01	-4.34633e+01	-3.30710e+01		         0.17167	2.90000e+01	
1.87854   	-2.84436e+01	-4.34724e+01	-3.43768e+01		         0.17333	3.00000e+01	
