Grayscale intensity, in dB

Time (s) :	Trace 1 : 	Trace 2 : 	Trace 3 : 		Ecg : 		
0.00057   	-3.02284e+01	-3.69259e+01	-3.43524e+01		         0.00000	-1.30000e+01	
0.01862   	-3.01547e+01	-3.62275e+01	-3.58433e+01		         0.00167	-1.60000e+01	
0.03668   	-2.79976e+01	-3.74741e+01	-3.53308e+01		         0.00333	-2.00000e+01	
0.05474   	-2.45453e+01	-3.57195e+01	-3.61205e+01		         0.00500	-2.40000e+01	
0.07280   	-2.16921e+01	-3.50878e+01	-3.60760e+01		         0.00667	-2.90000e+01	
0.09086   	-2.26762e+01	-3.51087e+01	-3.67836e+01		         0.00833	-3.30000e+01	
0.10892   	-2.53859e+01	-3.60438e+01	-3.44033e+01		         0.01000	-3.60000e+01	
0.12698   	-2.53153e+01	-3.42494e+01	-3.37604e+01		         0.01167	-4.00000e+01	
0.14503   	-2.64385e+01	-3.27623e+01	-3.17508e+01		         0.01333	-4.30000e+01	
0.16309   	-2.63026e+01	-3.26121e+01	-2.88465e+01		         0.01500	-4.40000e+01	
0.18115   	-2.70743e+01	-3.24878e+01	-3.10583e+01		         0.01667	-4.50000e+01	
0.19921   	-2.75562e+01	-3.23505e+01	-3.02198e+01		         0.01833	-4.50000e+01	
0.21726   	-2.80459e+01	-3.11580e+01	-3.15106e+01		         0.02000	-4.40000e+01	
0.23532   	-2.61160e+01	-3.47205e+01	-3.14482e+01		         0.02167	-4.20000e+01	
0.25377   	-2.57185e+01	-3.44041e+01	-3.14159e+01		         0.02333	-4.00000e+01	
0.27144   	-2.58820e+01	-3.59614e+01	-3.08795e+01		         0.02500	-3.60000e+01	
0.28950   	-2.59865e+01	-3.78262e+01	-3.05794e+01		         0.02667	-3.20000e+01	
0.30756   	-2.66766e+01	-3.82100e+01	-3.02783e+01		         0.02833	-2.80000e+01	
0.32561   	-2.71550e+01	-3.90652e+01	-3.16015e+01		         0.03000	-2.30000e+01	
0.34367   	-2.73782e+01	-4.11669e+01	-2.88170e+01		         0.03167	-1.80000e+01	
0.36173   	-2.74688e+01	-4.13213e+01	-2.87992e+01		         0.03333	-1.30000e+01	
0.37979   	-2.80146e+01	-4.18922e+01	-2.98132e+01		         0.03500	-8.00000e+00	
0.39785   	-2.83895e+01	-4.28763e+01	-2.91527e+01		         0.03667	-3.00000e+00	
0.41590   	-2.78093e+01	-4.54891e+01	-2.91245e+01		         0.03833	1.00000e+00	
0.43396   	-2.72923e+01	-4.54098e+01	-3.08639e+01		         0.04000	4.00000e+00	
