Grayscale intensity, in dB

Time (s) :	Trace 1 : 	Trace 2 : 	Trace 3 : 		Ecg : 		
0.00083   	-2.50059e+01	-4.56287e+01	-3.36989e+01		         0.00000	4.80000e+01	
0.02419   	-2.07940e+01	-4.92742e+01	-3.44615e+01		         0.00167	5.30000e+01	
0.04755   	-2.56901e+01	-5.00706e+01	-2.90695e+01		         0.00333	5.70000e+01	
0.07090   	-2.49391e+01	-4.97285e+01	-2.95740e+01		         0.00500	6.10000e+01	
0.09426   	-2.35466e+01	-4.57411e+01	-3.25051e+01		         0.00667	6.30000e+01	
0.11762   	-1.93919e+01	-3.88884e+01	-3.26493e+01		         0.00833	6.40000e+01	
0.14098   	-2.26740e+01	-3.72778e+01	-3.63665e+01		         0.01000	6.40000e+01	
0.16434   	-2.24020e+01	-3.54665e+01	-3.74106e+01		         0.01167	6.30000e+01	
0.18769   	-2.61826e+01	-3.63659e+01	-3.85386e+01		         0.01333	6.10000e+01	
0.21105   	-2.60412e+01	-3.81408e+01	-3.76894e+01		         0.01500	5.70000e+01	
0.23441   	-2.69666e+01	-3.64829e+01	-3.87885e+01		         0.01667	5.30000e+01	
0.25776   	-2.79778e+01	-3.69889e+01	-3.96883e+01		         0.01833	4.80000e+01	
0.28113   	-2.77518e+01	-4.21434e+01	-4.19673e+01		         0.02000	4.20000e+01	
0.30449   	-2.80588e+01	-4.75068e+01	-4.30379e+01		         0.02167	3.70000e+01	
0.32784   	-2.84548e+01	-5.00677e+01	-4.40289e+01		         0.02333	3.00000e+01	
0.35120   	-2.85224e+01	-5.14025e+01	-4.52517e+01		         0.02500	2.50000e+01	
0.37456   	-2.91827e+01	-5.21658e+01	-4.69495e+01		         0.02667	1.90000e+01	
0.39792   	-3.07726e+01	-5.37427e+01	-4.74052e+01		         0.02833	1.30000e+01	
0.42127   	-3.09399e+01	-5.31608e+01	-4.89192e+01		         0.03000	9.00000e+00	
0.44476   	-3.08099e+01	-5.18600e+01	-4.48203e+01		         0.03167	4.00000e+00	
0.46799   	-3.01494e+01	-5.28668e+01	-4.23713e+01		         0.03333	0.00000e+00	
0.49147   	-3.06900e+01	-5.19619e+01	-3.73129e+01		         0.03500	-3.00000e+00	
0.51471   	-3.02599e+01	-5.11867e+01	-3.61829e+01		         0.03667	-5.00000e+00	
