Grayscale intensity, in dB

Time (s) :	Trace 1 : 	Trace 2 : 	Trace 3 : 		Ecg : 		
0.00123   	-3.86687e+01	-4.69351e+01	-2.22893e+01		         0.00000	1.30000e+02	
0.01856   	-3.83978e+01	-4.43607e+01	-2.15437e+01		         0.00167	1.31000e+02	
0.03522   	-3.87636e+01	-4.07750e+01	-2.20231e+01		         0.00333	1.32000e+02	
0.05217   	-3.88115e+01	-3.33185e+01	-2.35426e+01		         0.00500	1.30000e+02	
0.06915   	-3.87564e+01	-3.09610e+01	-2.72389e+01		         0.00667	1.27000e+02	
0.08613   	-3.82774e+01	-3.31570e+01	-2.50482e+01		         0.00833	1.21000e+02	
0.10311   	-3.86323e+01	-3.18669e+01	-2.22171e+01		         0.01000	1.13000e+02	
0.12009   	-3.94653e+01	-3.09106e+01	-2.41924e+01		         0.01167	1.03000e+02	
0.13707   	-3.82689e+01	-3.22341e+01	-2.47913e+01		         0.01333	9.10000e+01	
0.15405   	-3.79837e+01	-3.27789e+01	-2.46734e+01		         0.01500	7.70000e+01	
0.17103   	-3.84486e+01	-3.43793e+01	-2.24760e+01		         0.01667	6.20000e+01	
0.18801   	-3.83491e+01	-3.48803e+01	-2.11102e+01		         0.01833	4.60000e+01	
0.20499   	-3.77594e+01	-3.40972e+01	-2.14694e+01		         0.02000	2.80000e+01	
0.22197   	-3.82215e+01	-3.30500e+01	-2.19708e+01		         0.02167	9.00000e+00	
0.23895   	-3.86698e+01	-3.35511e+01	-2.07590e+01		         0.02333	-1.00000e+01	
0.25593   	-3.83196e+01	-3.61036e+01	-2.16758e+01		         0.02500	-2.80000e+01	
0.27291   	-3.74926e+01	-3.64029e+01	-2.46127e+01		         0.02667	-4.50000e+01	
0.28989   	-3.71324e+01	-3.79274e+01	-2.69855e+01		         0.02833	-5.90000e+01	
0.30687   	-3.65060e+01	-3.92322e+01	-2.74857e+01		         0.03000	-7.10000e+01	
0.32385   	-3.64298e+01	-4.16505e+01	-2.74818e+01		         0.03167	-7.90000e+01	
0.34083   	-3.63808e+01	-4.21440e+01	-2.83569e+01		         0.03333	-8.40000e+01	
0.35781   	-3.60020e+01	-4.15247e+01	-2.96072e+01		         0.03500	-8.60000e+01	
0.37479   	-3.57728e+01	-4.34417e+01	-2.89848e+01		         0.03667	-8.50000e+01	
0.39177   	-3.60032e+01	-4.37526e+01	-2.83159e+01		         0.03833	-8.20000e+01	
0.40875   	-3.50426e+01	-4.53304e+01	-2.75325e+01		         0.04000	-7.70000e+01	
0.42573   	-3.40412e+01	-4.53032e+01	-2.79635e+01		         0.04167	-7.00000e+01	
0.44271   	-3.49515e+01	-4.52289e+01	-2.78418e+01		         0.04333	-6.30000e+01	
0.45969   	-3.56908e+01	-4.57952e+01	-2.62054e+01		         0.04500	-5.50000e+01	
0.47667   	-3.61711e+01	-4.56311e+01	-2.81038e+01		         0.04667	-4.70000e+01	
0.49365   	-3.72021e+01	-4.52059e+01	-2.85474e+01		         0.04833	-3.90000e+01	
0.51063   	-3.71378e+01	-4.31594e+01	-2.42920e+01		         0.05000	-3.20000e+01	
0.52761   	-3.75968e+01	-4.33937e+01	-2.49882e+01		         0.05167	-2.60000e+01	
0.54459   	-3.81864e+01	-4.24177e+01	-2.51275e+01		         0.05333	-2.10000e+01	
0.56157   	-3.73927e+01	-3.97090e+01	-2.34526e+01		         0.05500	-1.70000e+01	
0.57855   	-3.64450e+01	-3.92438e+01	-2.23193e+01		         0.05667	-1.40000e+01	
0.59553   	-3.48025e+01	-3.82053e+01	-2.22684e+01		         0.05833	-1.10000e+01	
0.61251   	-3.41171e+01	-3.72160e+01	-2.22424e+01		         0.06000	-1.00000e+01	
0.62950   	-3.24288e+01	-3.61222e+01	-2.12916e+01		         0.06167	-9.00000e+00	
0.64647   	-3.19469e+01	-3.54967e+01	-2.06256e+01		         0.06333	-8.00000e+00	
0.66346   	-3.24093e+01	-3.47403e+01	-2.16206e+01		         0.06500	-8.00000e+00	
0.68044   	-3.36479e+01	-3.48042e+01	-2.14994e+01		         0.06667	-8.00000e+00	
0.69741   	-3.49057e+01	-3.18809e+01	-2.16950e+01		         0.06833	-8.00000e+00	
0.71440   	-3.66060e+01	-3.25854e+01	-2.15007e+01		         0.07000	-9.00000e+00	
0.73137   	-3.61019e+01	-3.30775e+01	-2.20575e+01		         0.07167	-9.00000e+00	
0.74835   	-3.63774e+01	-3.46062e+01	-2.18177e+01		         0.07333	-1.00000e+01	
