Grayscale intensity, in dB

Time (s) :	Trace 1 : 	Trace 2 : 	Trace 3 : 		Ecg : 		
1.52118   	-2.45407e+01	-3.03956e+01	-2.89344e+01		         0.10667	2.90000e+01	
1.54494   	-2.56130e+01	-3.00460e+01	-2.76972e+01		         0.10833	2.90000e+01	
1.56896   	-2.77206e+01	-3.05519e+01	-2.86986e+01		         0.11000	2.90000e+01	
1.59247   	-2.71250e+01	-3.07512e+01	-3.05860e+01		         0.11167	2.90000e+01	
1.61624   	-2.70736e+01	-3.15911e+01	-3.65092e+01		         0.11333	2.90000e+01	
1.64000   	-2.80530e+01	-3.15085e+01	-3.76905e+01		         0.11500	2.80000e+01	
1.66377   	-2.52167e+01	-4.20943e+01	-3.62365e+01		         0.11667	2.60000e+01	
1.68753   	-2.60495e+01	-4.64593e+01	-3.58773e+01		         0.11833	2.50000e+01	
1.71130   	-2.71344e+01	-4.86188e+01	-3.31001e+01		         0.12000	2.40000e+01	
1.73506   	-2.87722e+01	-5.02311e+01	-3.24547e+01		         0.12167	2.20000e+01	
1.75883   	-2.90564e+01	-5.06846e+01	-3.30430e+01		         0.12333	2.10000e+01	
1.78259   	-2.84260e+01	-5.08796e+01	-3.46573e+01		         0.12500	1.90000e+01	
1.80636   	-2.79457e+01	-5.15473e+01	-3.66708e+01		         0.12667	1.90000e+01	
1.83012   	-2.90433e+01	-5.19699e+01	-3.61667e+01		         0.12833	1.80000e+01	
1.85388   	-2.98721e+01	-5.23891e+01	-3.72689e+01		         0.13000	1.80000e+01	
1.87765   	-2.98724e+01	-5.28135e+01	-3.66408e+01		         0.13167	1.70000e+01	
1.90141   	-2.95751e+01	-5.29004e+01	-3.66671e+01		         0.13333	1.70000e+01	
1.92518   	-2.80571e+01	-5.11999e+01	-3.63060e+01		         0.13500	1.70000e+01	
1.94894   	-2.64560e+01	-5.08019e+01	-3.20963e+01		         0.13667	1.70000e+01	
1.97271   	-2.88996e+01	-4.90474e+01	-3.16323e+01		         0.13833	1.80000e+01	
1.99647   	-3.06398e+01	-4.84042e+01	-3.11299e+01		         0.14000	1.80000e+01	
2.02024   	-3.02285e+01	-4.62488e+01	-3.26170e+01		         0.14167	1.80000e+01	
2.04400   	-2.82105e+01	-3.94796e+01	-3.23000e+01		         0.14333	1.80000e+01	
2.06776   	-2.93994e+01	-3.70786e+01	-2.88593e+01		         0.14500	1.70000e+01	
2.09153   	-2.60953e+01	-3.53116e+01	-2.78455e+01		         0.14667	1.70000e+01	
2.11529   	-2.46116e+01	-3.46481e+01	-2.76435e+01		         0.14833	1.60000e+01	
2.13906   	-2.67764e+01	-3.37874e+01	-2.76352e+01		         0.15000	1.60000e+01	
2.16282   	-2.92412e+01	-3.37589e+01	-2.76113e+01		         0.15167	1.50000e+01	
2.18659   	-3.02950e+01	-3.33704e+01	-2.76438e+01		         0.15333	1.50000e+01	
2.21035   	-2.95760e+01	-3.07219e+01	-2.72222e+01		         0.15500	1.50000e+01	
2.23412   	-2.70647e+01	-3.05842e+01	-2.79179e+01		         0.15667	1.50000e+01	
2.25788   	-2.64738e+01	-3.16825e+01	-2.78189e+01		         0.15833	1.50000e+01	
2.28164   	-2.81132e+01	-3.16409e+01	-2.63293e+01		         0.16000	1.50000e+01	
2.30541   	-2.73533e+01	-3.16088e+01	-2.67882e+01		         0.16167	1.50000e+01	
2.32917   	-3.06222e+01	-3.04197e+01	-2.88086e+01		         0.16333	1.60000e+01	
2.35294   	-3.35581e+01	-3.03395e+01	-2.74180e+01		         0.16500	1.60000e+01	
2.37670   	-2.96645e+01	-2.99622e+01	-2.71442e+01		         0.16667	1.70000e+01	
2.40047   	-2.58321e+01	-2.89110e+01	-2.85305e+01		         0.16833	1.70000e+01	
					         0.17000	1.80000e+01	
					         0.17167	1.80000e+01	
					         0.17333	1.80000e+01	
					         0.17500	1.80000e+01	
					         0.17667	1.90000e+01	
					         0.17833	1.90000e+01	
					         0.18000	1.90000e+01	
					         0.18167	2.00000e+01	
					         0.18333	2.00000e+01	
					         0.18500	2.10000e+01	
					         0.18667	2.10000e+01	
					         0.18833	2.20000e+01	
					         0.19000	2.30000e+01	
					         0.19167	2.40000e+01	
					         0.19333	2.50000e+01	
					         0.19500	2.60000e+01	
					         0.19667	2.60000e+01	
					         0.19833	2.70000e+01	
					         0.20000	2.70000e+01	
					         0.20167	2.80000e+01	
					         0.20333	2.80000e+01	
					         0.20500	2.90000e+01	
					         0.20667	2.90000e+01	
					         0.20833	2.90000e+01	
					         0.21000	2.90000e+01	
					         0.21167	2.90000e+01	
					         0.21333	2.90000e+01	
					         0.21500	2.90000e+01	
					         0.21667	3.00000e+01	
					         0.21833	3.00000e+01	
					         0.22000	3.00000e+01	
					         0.22167	3.00000e+01	
					         0.22333	3.00000e+01	
					         0.22500	3.00000e+01	
					         0.22667	3.00000e+01	
					         0.22833	3.00000e+01	
					         0.23000	2.90000e+01	
					         0.23167	2.90000e+01	
					         0.23333	2.90000e+01	
					         0.23500	2.90000e+01	
					         0.23667	2.90000e+01	
					         0.23833	2.90000e+01	
					         0.24000	2.90000e+01	
					         0.24167	2.90000e+01	
					         0.24333	2.90000e+01	
					         0.24500	2.90000e+01	
					         0.24667	3.00000e+01	
					         0.24833	3.00000e+01	
					         0.25000	3.00000e+01	
					         0.25167	3.10000e+01	
					         0.25333	3.00000e+01	
					         0.25500	3.00000e+01	
					         0.25667	3.00000e+01	
					         0.25833	2.90000e+01	
					         0.26000	2.80000e+01	
					         0.26167	2.70000e+01	
					         0.26333	2.60000e+01	
					         0.26500	2.50000e+01	
					         0.26667	2.30000e+01	
					         0.26833	2.10000e+01	
					         0.27000	1.90000e+01	
					         0.27167	1.70000e+01	
					         0.27333	1.50000e+01	
					         0.27500	1.30000e+01	
					         0.27667	1.20000e+01	
					         0.27833	1.00000e+01	
					         0.28000	8.00000e+00	
					         0.28167	7.00000e+00	
					         0.28333	5.00000e+00	
					         0.28500	4.00000e+00	
					         0.28667	2.00000e+00	
					         0.28833	1.00000e+00	
					         0.29000	0.00000e+00	
					         0.29167	-2.00000e+00	
					         0.29333	-3.00000e+00	
					         0.29500	-4.00000e+00	
					         0.29667	-6.00000e+00	
					         0.29833	-7.00000e+00	
					         0.30000	-8.00000e+00	
					         0.30167	-9.00000e+00	
					         0.30333	-1.00000e+01	
					         0.30500	-1.00000e+01	
					         0.30667	-1.10000e+01	
					         0.30833	-1.20000e+01	
					         0.31000	-1.20000e+01	
					         0.31167	-1.20000e+01	
					         0.31333	-1.30000e+01	
					         0.31500	-1.30000e+01	
					         0.31667	-1.30000e+01	
					         0.31833	-1.40000e+01	
					         0.32000	-1.40000e+01	
					         0.32167	-1.50000e+01	
					         0.32333	-1.50000e+01	
					         0.32500	-1.60000e+01	
					         0.32667	-1.60000e+01	
					         0.32833	-1.60000e+01	
					         0.33000	-1.60000e+01	
					         0.33167	-1.60000e+01	
					         0.33333	-1.50000e+01	
					         0.33500	-1.50000e+01	
					         0.33667	-1.40000e+01	
					         0.33833	-1.30000e+01	
					         0.34000	-1.20000e+01	
					         0.34167	-1.10000e+01	
					         0.34333	-1.00000e+01	
					         0.34500	-9.00000e+00	
					         0.34667	-8.00000e+00	
					         0.34833	-8.00000e+00	
					         0.35000	-7.00000e+00	
					         0.35167	-7.00000e+00	
					         0.35333	-6.00000e+00	
					         0.35500	-6.00000e+00	
					         0.35667	-6.00000e+00	
					         0.35833	-6.00000e+00	
					         0.36000	-6.00000e+00	
					         0.36167	-6.00000e+00	
					         0.36333	-6.00000e+00	
					         0.36500	-6.00000e+00	
					         0.36667	-6.00000e+00	
					         0.36833	-7.00000e+00	
					         0.37000	-7.00000e+00	
					         0.37167	-7.00000e+00	
					         0.37333	-8.00000e+00	
					         0.37500	-8.00000e+00	
					         0.37667	-9.00000e+00	
					         0.37833	-9.00000e+00	
					         0.38000	-1.00000e+01	
					         0.38167	-1.00000e+01	
					         0.38333	-1.10000e+01	
					         0.38500	-1.10000e+01	
					         0.38667	-1.00000e+01	
					         0.38833	-1.00000e+01	
					         0.39000	-9.00000e+00	
					         0.39167	-8.00000e+00	
					         0.39333	-6.00000e+00	
					         0.39500	-5.00000e+00	
					         0.39667	-4.00000e+00	
					         0.39833	-3.00000e+00	
					         0.40000	-2.00000e+00	
					         0.40167	-1.00000e+00	
					         0.40333	0.00000e+00	
					         0.40500	0.00000e+00	
					         0.40667	1.00000e+00	
					         0.40833	1.00000e+00	
					         0.41000	1.00000e+00	
					         0.41167	1.00000e+00	
					         0.41333	0.00000e+00	
					         0.41500	0.00000e+00	
					         0.41667	0.00000e+00	
					         0.41833	0.00000e+00	
					         0.42000	0.00000e+00	
					         0.42167	0.00000e+00	
					         0.42333	1.00000e+00	
					         0.42500	1.00000e+00	
					         0.42667	1.00000e+00	
					         0.42833	1.00000e+00	
					         0.43000	1.00000e+00	
					         0.43167	1.00000e+00	
					         0.43333	1.00000e+00	
					         0.43500	1.00000e+00	
					         0.43667	1.00000e+00	
					         0.43833	1.00000e+00	
					         0.44000	2.00000e+00	
					         0.44167	2.00000e+00	
					         0.44333	2.00000e+00	
					         0.44500	2.00000e+00	
					         0.44667	3.00000e+00	
					         0.44833	3.00000e+00	
					         0.45000	3.00000e+00	
					         0.45167	3.00000e+00	
					         0.45333	2.00000e+00	
					         0.45500	2.00000e+00	
					         0.45667	2.00000e+00	
					         0.45833	2.00000e+00	
					         0.46000	1.00000e+00	
					         0.46167	1.00000e+00	
					         0.46333	1.00000e+00	
					         0.46500	1.00000e+00	
					         0.46667	2.00000e+00	
					         0.46833	2.00000e+00	
					         0.47000	2.00000e+00	
					         0.47167	2.00000e+00	
					         0.47333	3.00000e+00	
					         0.47500	3.00000e+00	
					         0.47667	3.00000e+00	
					         0.47833	3.00000e+00	
					         0.48000	3.00000e+00	
					         0.48167	3.00000e+00	
					         0.48333	3.00000e+00	
					         0.48500	3.00000e+00	
					         0.48667	3.00000e+00	
					         0.48833	2.00000e+00	
					         0.49000	2.00000e+00	
					         0.49167	2.00000e+00	
					         0.49333	2.00000e+00	
					         0.49500	2.00000e+00	
					         0.49667	3.00000e+00	
					         0.49833	3.00000e+00	
					         0.50000	3.00000e+00	
					         0.50167	4.00000e+00	
					         0.50333	4.00000e+00	
					         0.50500	4.00000e+00	
					         0.50667	5.00000e+00	
					         0.50833	5.00000e+00	
					         0.51000	5.00000e+00	
					         0.51167	5.00000e+00	
					         0.51333	5.00000e+00	
					         0.51500	5.00000e+00	
					         0.51667	4.00000e+00	
					         0.51833	3.00000e+00	
					         0.52000	3.00000e+00	
					         0.52167	2.00000e+00	
					         0.52333	1.00000e+00	
					         0.52500	0.00000e+00	
					         0.52667	0.00000e+00	
					         0.52833	-1.00000e+00	
					         0.53000	-2.00000e+00	
					         0.53167	-2.00000e+00	
					         0.53333	-2.00000e+00	
					         0.53500	-2.00000e+00	
					         0.53667	-2.00000e+00	
					         0.53833	-1.00000e+00	
					         0.54000	0.00000e+00	
					         0.54167	1.00000e+00	
					         0.54333	2.00000e+00	
					         0.54500	4.00000e+00	
					         0.54667	5.00000e+00	
					         0.54833	7.00000e+00	
					         0.55000	9.00000e+00	
					         0.55167	1.10000e+01	
					         0.55333	1.30000e+01	
					         0.55500	1.50000e+01	
					         0.55667	1.70000e+01	
					         0.55833	1.90000e+01	
					         0.56000	2.10000e+01	
					         0.56167	2.20000e+01	
					         0.56333	2.30000e+01	
					         0.56500	2.50000e+01	
					         0.56667	2.50000e+01	
					         0.56833	2.60000e+01	
					         0.57000	2.60000e+01	
					         0.57167	2.60000e+01	
					         0.57333	2.60000e+01	
					         0.57500	2.50000e+01	
					         0.57667	2.40000e+01	
					         0.57833	2.30000e+01	
					         0.58000	2.20000e+01	
					         0.58167	2.00000e+01	
					         0.58333	1.90000e+01	
					         0.58500	1.70000e+01	
					         0.58667	1.50000e+01	
					         0.58833	1.30000e+01	
					         0.59000	1.10000e+01	
					         0.59167	9.00000e+00	
					         0.59333	8.00000e+00	
					         0.59500	6.00000e+00	
					         0.59667	5.00000e+00	
					         0.59833	3.00000e+00	
					         0.60000	2.00000e+00	
					         0.60167	0.00000e+00	
					         0.60333	-1.00000e+00	
					         0.60500	-2.00000e+00	
					         0.60667	-4.00000e+00	
					         0.60833	-5.00000e+00	
					         0.61000	-6.00000e+00	
					         0.61167	-6.00000e+00	
					         0.61333	-7.00000e+00	
					         0.61500	-8.00000e+00	
					         0.61667	-8.00000e+00	
					         0.61833	-9.00000e+00	
					         0.62000	-9.00000e+00	
					         0.62167	-9.00000e+00	
					         0.62333	-1.00000e+01	
					         0.62500	-1.00000e+01	
					         0.62667	-1.10000e+01	
					         0.62833	-1.10000e+01	
					         0.63000	-1.20000e+01	
					         0.63167	-1.30000e+01	
					         0.63333	-1.40000e+01	
					         0.63500	-1.40000e+01	
					         0.63667	-1.50000e+01	
					         0.63833	-1.60000e+01	
					         0.64000	-1.70000e+01	
					         0.64167	-1.80000e+01	
					         0.64333	-1.80000e+01	
					         0.64500	-1.90000e+01	
					         0.64667	-1.90000e+01	
					         0.64833	-1.90000e+01	
					         0.65000	-2.00000e+01	
					         0.65167	-2.00000e+01	
