Grayscale intensity, in dB

Time (s) :	Trace 1 : 	Trace 2 : 	Trace 3 : 		Ecg : 		
0.00116   	-3.40566e+01	-5.42578e+01	-4.07874e+01		         0.00000	1.30000e+01	
0.01814   	-3.40107e+01	-5.02561e+01	-3.96417e+01		         0.00167	1.30000e+01	
0.03512   	-3.37520e+01	-4.70039e+01	-3.93103e+01		         0.00333	1.50000e+01	
0.05210   	-3.41501e+01	-4.68140e+01	-3.89590e+01		         0.00500	1.80000e+01	
0.06908   	-3.54789e+01	-4.77404e+01	-3.83652e+01		         0.00667	2.30000e+01	
0.08606   	-3.55571e+01	-4.79384e+01	-3.67061e+01		         0.00833	3.00000e+01	
0.10304   	-3.56731e+01	-4.78146e+01	-3.78836e+01		         0.01000	3.90000e+01	
0.12002   	-3.39474e+01	-4.16148e+01	-3.64415e+01		         0.01167	5.10000e+01	
0.13700   	-3.37760e+01	-3.63023e+01	-3.55846e+01		         0.01333	6.50000e+01	
0.15398   	-3.41009e+01	-3.45650e+01	-3.06715e+01		         0.01500	8.20000e+01	
0.17096   	-3.46303e+01	-2.82692e+01	-2.77861e+01		         0.01667	1.01000e+02	
0.18794   	-3.58723e+01	-3.00928e+01	-2.76240e+01		         0.01833	1.21000e+02	
0.20492   	-3.75231e+01	-3.73905e+01	-2.53522e+01		         0.02000	1.43000e+02	
0.22190   	-3.83999e+01	-3.67068e+01	-2.74402e+01		         0.02167	1.65000e+02	
0.23888   	-3.99583e+01	-4.31109e+01	-2.84932e+01		         0.02333	1.87000e+02	
0.25586   	-4.10263e+01	-4.51098e+01	-2.93461e+01		         0.02500	2.07000e+02	
0.27284   	-4.18399e+01	-4.76292e+01	-2.81413e+01		         0.02667	2.27000e+02	
0.28982   	-4.17140e+01	-4.97247e+01	-2.71071e+01		         0.02833	2.43000e+02	
0.30680   	-4.16268e+01	-5.10051e+01	-2.79507e+01		         0.03000	2.57000e+02	
0.32378   	-4.06269e+01	-5.07555e+01	-2.93090e+01		         0.03167	2.67000e+02	
0.34076   	-4.08759e+01	-5.04771e+01	-3.06598e+01		         0.03333	2.73000e+02	
0.35774   	-3.98332e+01	-5.16023e+01	-3.12947e+01		         0.03500	2.76000e+02	
0.37472   	-3.96273e+01	-5.07022e+01	-3.02438e+01		         0.03667	2.74000e+02	
0.39170   	-4.01319e+01	-4.98660e+01	-3.03764e+01		         0.03833	2.69000e+02	
0.40868   	-4.12018e+01	-4.87033e+01	-2.75922e+01		         0.04000	2.59000e+02	
0.42566   	-4.20466e+01	-4.94232e+01	-2.67353e+01		         0.04167	2.45000e+02	
0.44264   	-4.30884e+01	-4.83290e+01	-2.64458e+01		         0.04333	2.28000e+02	
