Grayscale intensity, in dB

Time (s) :	Trace 1 : 	Trace 2 : 	Trace 3 : 		Ecg : 		
0.00149   	-4.05247e+01	-5.89387e+01	-4.60947e+01		         0.00000	2.40000e+01	
0.01847   	-3.99149e+01	-5.72906e+01	-4.73902e+01		         0.00167	3.50000e+01	
0.03545   	-3.98996e+01	-5.78335e+01	-4.69212e+01		         0.00333	4.70000e+01	
0.05242   	-4.23468e+01	-5.90929e+01	-4.85503e+01		         0.00500	6.00000e+01	
0.06940   	-4.39162e+01	-5.85018e+01	-4.88556e+01		         0.00667	7.40000e+01	
0.08638   	-4.41394e+01	-5.80196e+01	-4.78536e+01		         0.00833	9.00000e+01	
0.10336   	-4.46312e+01	-5.56179e+01	-4.95693e+01		         0.01000	1.08000e+02	
0.12034   	-4.50953e+01	-5.66710e+01	-4.84918e+01		         0.01167	1.25000e+02	
0.13732   	-4.54193e+01	-5.58009e+01	-4.81108e+01		         0.01333	1.43000e+02	
0.15430   	-4.48729e+01	-5.44550e+01	-4.87598e+01		         0.01500	1.59000e+02	
0.17129   	-4.43662e+01	-5.31440e+01	-4.84501e+01		         0.01667	1.72000e+02	
0.18826   	-4.45104e+01	-5.22576e+01	-4.77219e+01		         0.01833	1.82000e+02	
0.20524   	-4.41121e+01	-5.30136e+01	-4.74564e+01		         0.02000	1.87000e+02	
0.22223   	-4.42587e+01	-5.32800e+01	-4.79467e+01		         0.02167	1.87000e+02	
0.23922   	-4.38980e+01	-5.65812e+01	-4.84029e+01		         0.02333	1.81000e+02	
0.25618   	-4.38201e+01	-5.68981e+01	-4.77243e+01		         0.02500	1.68000e+02	
0.27316   	-4.35531e+01	-5.94740e+01	-4.90724e+01		         0.02667	1.49000e+02	
0.29015   	-4.41372e+01	-6.04461e+01	-4.84927e+01		         0.02833	1.22000e+02	
0.30712   	-4.37002e+01	-6.11787e+01	-4.86551e+01		         0.03000	9.00000e+01	
0.32411   	-4.33003e+01	-6.13791e+01	-4.87471e+01		         0.03167	5.20000e+01	
0.34109   	-4.24052e+01	-6.22732e+01	-4.72343e+01		         0.03333	9.00000e+00	
0.35807   	-4.20466e+01	-6.22222e+01	-4.70863e+01		         0.03500	-3.60000e+01	
0.37505   	-4.22452e+01	-6.14878e+01	-4.71715e+01		         0.03667	-8.30000e+01	
0.39203   	-4.23195e+01	-6.18994e+01	-4.65095e+01		         0.03833	-1.30000e+02	
0.40901   	-4.24112e+01	-6.22131e+01	-4.67445e+01		         0.04000	-1.76000e+02	
0.42599   	-4.26838e+01	-6.18477e+01	-4.73222e+01		         0.04167	-2.21000e+02	
0.44297   	-4.30462e+01	-6.11493e+01	-4.51672e+01		         0.04333	-2.62000e+02	
0.45994   	-4.26328e+01	-5.95984e+01	-4.66616e+01		         0.04500	-2.99000e+02	
0.47693   	-4.40944e+01	-5.80165e+01	-4.70533e+01		         0.04667	-3.32000e+02	
0.49391   	-4.42486e+01	-5.41082e+01	-4.69345e+01		         0.04833	-3.59000e+02	
0.51089   	-4.38568e+01	-5.38463e+01	-4.64918e+01		         0.05000	-3.80000e+02	
0.52787   	-4.43117e+01	-5.22794e+01	-4.74545e+01		         0.05167	-3.95000e+02	
0.54484   	-4.45687e+01	-5.35027e+01	-4.71178e+01		         0.05333	-4.03000e+02	
0.56183   	-4.32187e+01	-5.47898e+01	-4.61652e+01		         0.05500	-4.05000e+02	
0.57881   	-4.17793e+01	-5.47651e+01	-4.57352e+01		         0.05667	-4.00000e+02	
0.59579   	-4.10429e+01	-5.29533e+01	-4.51961e+01		         0.05833	-3.88000e+02	
0.61277   	-4.11043e+01	-5.13695e+01	-4.55816e+01		         0.06000	-3.71000e+02	
0.62975   	-4.08746e+01	-5.11318e+01	-4.66597e+01		         0.06167	-3.49000e+02	
0.64673   	-4.08442e+01	-5.24370e+01	-4.64976e+01		         0.06333	-3.22000e+02	
0.66371   	-4.09344e+01	-5.32505e+01	-4.67883e+01		         0.06500	-2.91000e+02	
0.68069   	-4.10676e+01	-5.31920e+01	-4.72370e+01		         0.06667	-2.58000e+02	
0.69767   	-4.11553e+01	-5.36937e+01	-4.71553e+01		         0.06833	-2.23000e+02	
0.71465   	-4.13702e+01	-5.28677e+01	-4.68852e+01		         0.07000	-1.87000e+02	
0.73163   	-4.14022e+01	-5.27228e+01	-4.66115e+01		         0.07167	-1.53000e+02	
0.74861   	-4.13222e+01	-5.29866e+01	-4.56780e+01		         0.07333	-1.19000e+02	
0.76559   	-4.11276e+01	-5.23145e+01	-4.56293e+01		         0.07500	-8.90000e+01	
0.78257   	-4.09361e+01	-5.39037e+01	-4.57047e+01		         0.07667	-6.00000e+01	
0.79955   	-4.10065e+01	-5.55810e+01	-4.58274e+01		         0.07833	-3.50000e+01	
0.81653   	-4.16636e+01	-5.65428e+01	-4.54649e+01		         0.08000	-1.30000e+01	
0.83351   	-4.25872e+01	-5.61532e+01	-4.52081e+01		         0.08167	5.00000e+00	
0.85049   	-4.31436e+01	-5.70292e+01	-4.45212e+01		         0.08333	2.10000e+01	
0.86747   	-4.32271e+01	-5.79475e+01	-4.38633e+01		         0.08500	3.30000e+01	
0.88445   	-4.30829e+01	-5.51622e+01	-4.45783e+01		         0.08667	4.30000e+01	
0.90143   	-4.46640e+01	-5.43722e+01	-4.77825e+01		         0.08833	5.00000e+01	
0.91841   	-4.42688e+01	-5.33368e+01	-4.63267e+01		         0.09000	5.60000e+01	
0.93539   	-4.33131e+01	-5.22575e+01	-4.59750e+01		         0.09167	5.90000e+01	
0.95237   	-4.23058e+01	-5.32886e+01	-4.50728e+01		         0.09333	6.20000e+01	
0.96966   	-4.27595e+01	-5.36121e+01	-4.58617e+01		         0.09500	6.30000e+01	
0.98633   	-4.33459e+01	-5.60115e+01	-4.67940e+01		         0.09667	6.40000e+01	
1.00331   	-4.40212e+01	-5.63591e+01	-4.74800e+01		         0.09833	6.40000e+01	
1.02029   	-4.44898e+01	-5.52430e+01	-4.83964e+01		         0.10000	6.30000e+01	
1.03727   	-4.32101e+01	-5.62343e+01	-4.71868e+01		         0.10167	6.20000e+01	
1.05425   	-4.29138e+01	-5.59468e+01	-4.40654e+01		         0.10333	6.10000e+01	
1.07123   	-4.27250e+01	-5.54423e+01	-4.43836e+01		         0.10500	6.10000e+01	
1.08821   	-4.22661e+01	-5.61072e+01	-4.36525e+01		         0.10667	6.00000e+01	
1.10519   	-4.23632e+01	-5.53482e+01	-4.37189e+01		         0.10833	5.90000e+01	
1.12217   	-4.30898e+01	-5.57541e+01	-4.36295e+01		         0.11000	5.80000e+01	
1.13915   	-4.34535e+01	-5.52698e+01	-4.37599e+01		         0.11167	5.70000e+01	
1.15613   	-4.38833e+01	-5.42910e+01	-4.49863e+01		         0.11333	5.60000e+01	
1.17311   	-4.42684e+01	-5.48611e+01	-4.46573e+01		         0.11500	5.50000e+01	
1.19009   	-4.49978e+01	-5.62048e+01	-4.58793e+01		         0.11667	5.50000e+01	
1.20707   	-4.45932e+01	-5.80698e+01	-4.51991e+01		         0.11833	5.40000e+01	
1.22405   	-4.40983e+01	-6.05623e+01	-4.68083e+01		         0.12000	5.40000e+01	
1.24103   	-4.37535e+01	-6.02561e+01	-4.63284e+01		         0.12167	5.30000e+01	
1.25801   	-4.35393e+01	-6.16296e+01	-4.68285e+01		         0.12333	5.30000e+01	
1.27499   	-4.31333e+01	-6.08399e+01	-4.58180e+01		         0.12500	5.20000e+01	
1.29197   	-4.32030e+01	-6.17273e+01	-4.48895e+01		         0.12667	5.10000e+01	
1.30895   	-4.36437e+01	-6.21954e+01	-4.55003e+01		         0.12833	5.00000e+01	
1.32593   	-4.36533e+01	-6.06217e+01	-4.54874e+01		         0.13000	5.00000e+01	
