Grayscale intensity, in dB

Time (s) :	Trace 1 : 	Trace 2 : 	Trace 3 : 		Ecg : 		
0.00038   	-2.31134e+01	-2.09466e+01	-4.54042e+01		         0.00000	8.20000e+01	
0.01736   	-2.26742e+01	-2.14300e+01	-4.61108e+01		         0.00167	1.06000e+02	
0.03434   	-2.36826e+01	-1.97308e+01	-4.51291e+01		         0.00333	1.30000e+02	
0.05132   	-2.13308e+01	-2.04039e+01	-4.51864e+01		         0.00500	1.53000e+02	
0.06830   	-2.06180e+01	-1.83835e+01	-4.62212e+01		         0.00667	1.73000e+02	
0.08528   	-2.13025e+01	-1.62195e+01	-4.70079e+01		         0.00833	1.90000e+02	
0.10226   	-2.10878e+01	-1.80009e+01	-4.59773e+01		         0.01000	2.01000e+02	
0.11924   	-1.88780e+01	-1.96103e+01	-4.37541e+01		         0.01167	2.07000e+02	
0.13622   	-1.88837e+01	-2.43838e+01	-4.58115e+01		         0.01333	2.06000e+02	
0.15320   	-1.90954e+01	-2.52645e+01	-4.54025e+01		         0.01500	1.98000e+02	
0.17018   	-1.85468e+01	-2.61139e+01	-4.71993e+01		         0.01667	1.84000e+02	
0.18716   	-1.83884e+01	-2.83813e+01	-4.68556e+01		         0.01833	1.64000e+02	
0.20414   	-1.78637e+01	-2.93566e+01	-4.50452e+01		         0.02000	1.40000e+02	
0.22112   	-1.76619e+01	-2.96145e+01	-4.59369e+01		         0.02167	1.13000e+02	
0.23810   	-1.77037e+01	-3.05459e+01	-4.58379e+01		         0.02333	8.40000e+01	
0.25508   	-1.75113e+01	-3.35629e+01	-4.51419e+01		         0.02500	5.50000e+01	
0.27206   	-1.82459e+01	-3.41572e+01	-4.55883e+01		         0.02667	2.70000e+01	
0.28904   	-1.84574e+01	-3.72927e+01	-4.61992e+01		         0.02833	2.00000e+00	
0.30602   	-1.88392e+01	-3.75592e+01	-4.62551e+01		         0.03000	-2.00000e+01	
0.32300   	-1.93409e+01	-3.60583e+01	-4.62821e+01		         0.03167	-3.80000e+01	
0.34023   	-2.02468e+01	-3.79362e+01	-4.49963e+01		         0.03333	-5.10000e+01	
0.35695   	-2.13161e+01	-4.09690e+01	-4.56183e+01		         0.03500	-6.00000e+01	
0.37394   	-2.04780e+01	-3.95861e+01	-4.48574e+01		         0.03667	-6.50000e+01	
0.39092   	-1.67874e+01	-3.99875e+01	-4.51081e+01		         0.03833	-6.70000e+01	
0.40790   	-1.64855e+01	-3.82821e+01	-4.24354e+01		         0.04000	-6.50000e+01	
0.42488   	-1.60461e+01	-3.77008e+01	-4.28450e+01		         0.04167	-6.20000e+01	
0.44186   	-1.60583e+01	-3.96051e+01	-4.25861e+01		         0.04333	-5.60000e+01	
0.45884   	-1.65093e+01	-3.91264e+01	-4.37944e+01		         0.04500	-5.00000e+01	
0.47582   	-1.58757e+01	-3.76663e+01	-4.25387e+01		         0.04667	-4.30000e+01	
0.49280   	-1.63566e+01	-3.59311e+01	-4.16165e+01		         0.04833	-3.70000e+01	
0.50978   	-1.70672e+01	-3.55695e+01	-4.05259e+01		         0.05000	-3.10000e+01	
0.52676   	-1.72360e+01	-3.23490e+01	-3.69066e+01		         0.05167	-2.60000e+01	
0.54374   	-1.60041e+01	-3.10735e+01	-3.89735e+01		         0.05333	-2.10000e+01	
0.56072   	-1.57805e+01	-2.75796e+01	-3.99514e+01		         0.05500	-1.80000e+01	
0.57770   	-1.53720e+01	-2.56237e+01	-4.07576e+01		         0.05667	-1.60000e+01	
0.59468   	-1.42877e+01	-2.10787e+01	-4.07525e+01		         0.05833	-1.40000e+01	
0.61166   	-1.31935e+01	-1.92682e+01	-4.13741e+01		         0.06000	-1.40000e+01	
0.62864   	-1.32612e+01	-1.80826e+01	-4.09281e+01		         0.06167	-1.30000e+01	
0.64562   	-1.38370e+01	-1.75111e+01	-4.11107e+01		         0.06333	-1.30000e+01	
0.66260   	-1.45665e+01	-1.73820e+01	-4.26803e+01		         0.06500	-1.30000e+01	
0.67958   	-1.57282e+01	-1.99204e+01	-4.28262e+01		         0.06667	-1.40000e+01	
0.69656   	-1.56339e+01	-2.11840e+01	-4.27663e+01		         0.06833	-1.40000e+01	
0.71354   	-1.64691e+01	-1.88745e+01	-4.45825e+01		         0.07000	-1.50000e+01	
0.73052   	-1.73780e+01	-1.73028e+01	-4.49270e+01		         0.07167	-1.60000e+01	
0.74750   	-2.15093e+01	-1.81646e+01	-4.58866e+01		         0.07333	-1.70000e+01	
0.76448   	-2.29218e+01	-1.86652e+01	-4.72604e+01		         0.07500	-1.70000e+01	
0.78146   	-2.27201e+01	-1.85811e+01	-4.65148e+01		         0.07667	-1.80000e+01	
0.79844   	-2.20698e+01	-2.05545e+01	-4.67046e+01		         0.07833	-1.80000e+01	
