Grayscale intensity, in dB

Time (s) :	Trace 1 : 	Trace 2 : 	Trace 3 : 		Ecg : 		
0.00112   	-3.25708e+01	-4.40896e+01	-3.94246e+01		         0.00000	1.97000e+02	
0.01810   	-3.19465e+01	-4.39183e+01	-3.84652e+01		         0.00167	2.08000e+02	
0.03508   	-3.14686e+01	-4.27170e+01	-3.85803e+01		         0.00333	2.15000e+02	
0.05206   	-3.08880e+01	-4.39745e+01	-3.80334e+01		         0.00500	2.18000e+02	
0.06903   	-3.23013e+01	-4.43824e+01	-3.74410e+01		         0.00667	2.16000e+02	
0.08601   	-3.49806e+01	-4.78927e+01	-3.85935e+01		         0.00833	2.07000e+02	
0.10299   	-3.65097e+01	-4.89571e+01	-3.90959e+01		         0.01000	1.91000e+02	
0.11998   	-3.70862e+01	-4.64419e+01	-3.70430e+01		         0.01167	1.70000e+02	
0.13695   	-3.84045e+01	-4.34140e+01	-3.42119e+01		         0.01333	1.42000e+02	
0.15393   	-3.88781e+01	-4.15122e+01	-3.42023e+01		         0.01500	1.08000e+02	
0.17120   	-3.97760e+01	-4.10041e+01	-3.17980e+01		         0.01667	7.10000e+01	
0.18789   	-4.06309e+01	-4.06659e+01	-3.12279e+01		         0.01833	2.90000e+01	
0.20487   	-4.11519e+01	-3.98925e+01	-3.06787e+01		         0.02000	-1.50000e+01	
0.22185   	-4.18038e+01	-3.94903e+01	-3.16443e+01		         0.02167	-5.90000e+01	
0.23884   	-4.20751e+01	-4.06196e+01	-3.10885e+01		         0.02333	-1.02000e+02	
0.25582   	-4.23231e+01	-4.16613e+01	-3.18243e+01		         0.02500	-1.41000e+02	
0.27280   	-4.30397e+01	-4.36521e+01	-3.28794e+01		         0.02667	-1.76000e+02	
0.28978   	-4.30541e+01	-4.55308e+01	-3.36596e+01		         0.02833	-2.05000e+02	
0.30676   	-4.26906e+01	-4.72221e+01	-3.44067e+01		         0.03000	-2.27000e+02	
0.32374   	-4.29198e+01	-4.89313e+01	-3.65946e+01		         0.03167	-2.42000e+02	
0.34072   	-4.30688e+01	-4.96027e+01	-3.78285e+01		         0.03333	-2.52000e+02	
