Grayscale intensity, in dB

Time (s) :	Trace 1 : 	Trace 2 : 	Trace 3 : 		Ecg : 		
0.00162   	-2.96665e+01	-3.54666e+01	-3.28564e+01		         0.00000	4.20000e+01	
0.01859   	-2.94520e+01	-3.45923e+01	-3.15578e+01		         0.00167	5.30000e+01	
0.03558   	-2.93631e+01	-3.38092e+01	-3.08797e+01		         0.00333	6.70000e+01	
0.05256   	-2.96707e+01	-3.54583e+01	-2.52551e+01		         0.00500	8.40000e+01	
0.06954   	-2.84225e+01	-3.72447e+01	-2.84045e+01		         0.00667	1.02000e+02	
0.08652   	-2.79222e+01	-3.40295e+01	-3.04743e+01		         0.00833	1.24000e+02	
0.10350   	-2.75625e+01	-2.15005e+01	-3.33238e+01		         0.01000	1.47000e+02	
0.12048   	-2.76956e+01	-1.54371e+01	-3.02179e+01		         0.01167	1.71000e+02	
0.13745   	-2.74849e+01	-1.62197e+01	-3.10848e+01		         0.01333	1.96000e+02	
0.15444   	-2.67028e+01	-1.31467e+01	-2.98461e+01		         0.01500	2.19000e+02	
0.17141   	-2.57232e+01	-1.20850e+01	-3.13277e+01		         0.01667	2.39000e+02	
0.18840   	-2.49831e+01	-1.28137e+01	-3.11299e+01		         0.01833	2.54000e+02	
0.20538   	-2.41961e+01	-1.50986e+01	-2.90139e+01		         0.02000	2.64000e+02	
0.22236   	-2.33408e+01	-1.69978e+01	-2.90287e+01		         0.02167	2.66000e+02	
0.23934   	-2.38052e+01	-1.85150e+01	-3.02525e+01		         0.02333	2.61000e+02	
0.25632   	-2.46088e+01	-2.41239e+01	-2.98782e+01		         0.02500	2.47000e+02	
0.27330   	-2.51824e+01	-2.79390e+01	-2.87512e+01		         0.02667	2.25000e+02	
0.29028   	-2.62004e+01	-3.04679e+01	-2.82649e+01		         0.02833	1.96000e+02	
0.30726   	-2.64897e+01	-3.34069e+01	-2.74994e+01		         0.03000	1.61000e+02	
0.32424   	-2.60875e+01	-3.44429e+01	-2.77994e+01		         0.03167	1.20000e+02	
0.34122   	-2.65210e+01	-3.46539e+01	-2.64336e+01		         0.03333	7.60000e+01	
0.35819   	-2.66839e+01	-3.74285e+01	-2.86993e+01		         0.03500	3.20000e+01	
