Grayscale intensity, in dB

Time (s) :	Trace 1 : 	Trace 2 : 	Trace 3 : 		Ecg : 		
0.00052   	-2.43864e+01	-2.85572e+01	-2.54444e+01		         0.00000	3.30000e+01	
0.01858   	-2.49344e+01	-2.71159e+01	-2.45488e+01		         0.00167	4.50000e+01	
0.03664   	-2.51514e+01	-2.74002e+01	-2.69285e+01		         0.00333	5.90000e+01	
0.05470   	-2.53410e+01	-2.58164e+01	-2.43642e+01		         0.00500	7.20000e+01	
0.07276   	-2.52063e+01	-2.93764e+01	-2.54602e+01		         0.00667	8.60000e+01	
0.09081   	-2.47347e+01	-2.87534e+01	-2.71336e+01		         0.00833	9.90000e+01	
0.10887   	-2.08597e+01	-3.12239e+01	-2.81432e+01		         0.01000	1.12000e+02	
0.12693   	-2.25220e+01	-3.21985e+01	-3.04869e+01		         0.01167	1.22000e+02	
0.14499   	-2.32358e+01	-3.26954e+01	-2.84270e+01		         0.01333	1.31000e+02	
0.16304   	-2.33065e+01	-3.12361e+01	-3.10006e+01		         0.01500	1.37000e+02	
0.18110   	-2.10952e+01	-3.25157e+01	-3.55691e+01		         0.01667	1.39000e+02	
0.19916   	-1.88265e+01	-3.08000e+01	-3.72305e+01		         0.01833	1.38000e+02	
0.21722   	-1.70458e+01	-3.44836e+01	-3.77823e+01		         0.02000	1.34000e+02	
0.23528   	-1.56145e+01	-3.54725e+01	-3.60026e+01		         0.02167	1.26000e+02	
0.25334   	-1.66282e+01	-3.87742e+01	-3.55035e+01		         0.02333	1.15000e+02	
0.27140   	-1.61356e+01	-3.97307e+01	-3.60095e+01		         0.02500	1.01000e+02	
0.28945   	-1.55524e+01	-4.10282e+01	-3.33920e+01		         0.02667	8.60000e+01	
0.30751   	-1.55401e+01	-4.31878e+01	-3.09467e+01		         0.02833	6.80000e+01	
0.32557   	-1.79765e+01	-4.39190e+01	-3.32270e+01		         0.03000	5.00000e+01	
0.34363   	-1.97831e+01	-4.36647e+01	-3.32378e+01		         0.03167	3.20000e+01	
0.36168   	-1.99602e+01	-4.39344e+01	-3.39315e+01		         0.03333	1.40000e+01	
0.37974   	-2.12314e+01	-4.52241e+01	-3.39172e+01		         0.03500	-3.00000e+00	
0.39780   	-2.32133e+01	-4.71616e+01	-3.43805e+01		         0.03667	-1.80000e+01	
0.41586   	-2.52059e+01	-4.69994e+01	-3.61381e+01		         0.03833	-3.10000e+01	
0.43392   	-2.50623e+01	-4.69451e+01	-3.65542e+01		         0.04000	-4.10000e+01	
0.45198   	-2.51234e+01	-4.42372e+01	-3.69398e+01		         0.04167	-4.80000e+01	
0.47004   	-2.58543e+01	-4.29907e+01	-3.64451e+01		         0.04333	-5.20000e+01	
0.48809   	-2.56155e+01	-4.21765e+01	-3.69137e+01		         0.04500	-5.40000e+01	
0.50615   	-2.42168e+01	-4.27823e+01	-3.79100e+01		         0.04667	-5.50000e+01	
0.52421   	-2.57617e+01	-4.13499e+01	-3.86418e+01		         0.04833	-5.30000e+01	
0.54227   	-2.69701e+01	-4.03948e+01	-3.76497e+01		         0.05000	-5.10000e+01	
0.56032   	-2.57899e+01	-4.01879e+01	-4.03807e+01		         0.05167	-4.80000e+01	
0.57838   	-2.53308e+01	-3.95407e+01	-3.98174e+01		         0.05333	-4.40000e+01	
0.59644   	-2.57371e+01	-3.56779e+01	-3.94360e+01		         0.05500	-4.00000e+01	
0.61450   	-2.52944e+01	-3.46433e+01	-4.00997e+01		         0.05667	-3.60000e+01	
0.63256   	-2.46592e+01	-3.33017e+01	-3.96281e+01		         0.05833	-3.20000e+01	
0.65062   	-2.47439e+01	-3.26143e+01	-3.85155e+01		         0.06000	-2.80000e+01	
0.66867   	-2.51777e+01	-3.21568e+01	-3.91147e+01		         0.06167	-2.50000e+01	
0.68673   	-2.56221e+01	-3.18059e+01	-3.91605e+01		         0.06333	-2.20000e+01	
0.70479   	-2.61534e+01	-3.25697e+01	-3.91833e+01		         0.06500	-1.90000e+01	
0.72285   	-2.60872e+01	-3.34230e+01	-3.96150e+01		         0.06667	-1.70000e+01	
0.74091   	-2.58067e+01	-3.38295e+01	-4.08711e+01		         0.06833	-1.60000e+01	
0.75896   	-2.54505e+01	-3.42334e+01	-4.05719e+01		         0.07000	-1.40000e+01	
0.77702   	-2.51196e+01	-3.40254e+01	-4.04505e+01		         0.07167	-1.30000e+01	
0.79518   	-2.44414e+01	-3.35310e+01	-4.00706e+01		         0.07333	-1.10000e+01	
0.81314   	-2.38636e+01	-3.56338e+01	-3.98036e+01		         0.07500	-1.00000e+01	
0.83120   	-2.38340e+01	-3.46355e+01	-3.99312e+01		         0.07667	-9.00000e+00	
0.84926   	-2.43087e+01	-3.02426e+01	-4.00423e+01		         0.07833	-8.00000e+00	
0.86731   	-2.58133e+01	-2.86645e+01	-3.96007e+01		         0.08000	-8.00000e+00	
0.88537   	-2.86615e+01	-2.76687e+01	-3.89623e+01		         0.08167	-7.00000e+00	
0.90343   	-2.88464e+01	-2.62567e+01	-3.94924e+01		         0.08333	-6.00000e+00	
0.92149   	-2.89571e+01	-3.01444e+01	-3.81861e+01		         0.08500	-5.00000e+00	
0.93955   	-2.85062e+01	-2.53228e+01	-3.36922e+01		         0.08667	-4.00000e+00	
0.95760   	-2.75493e+01	-2.77307e+01	-3.02570e+01		         0.08833	-3.00000e+00	
0.97566   	-2.67631e+01	-2.73076e+01	-2.84317e+01		         0.09000	-3.00000e+00	
0.99372   	-2.76656e+01	-2.80129e+01	-2.68074e+01		         0.09167	-2.00000e+00	
1.01178   	-2.63465e+01	-2.78655e+01	-3.07356e+01		         0.09333	-2.00000e+00	
1.02984   	-2.71387e+01	-2.81634e+01	-2.94769e+01		         0.09500	-2.00000e+00	
1.04790   	-2.68769e+01	-2.88432e+01	-3.04191e+01		         0.09667	-1.00000e+00	
1.06595   	-2.20236e+01	-2.85967e+01	-3.25760e+01		         0.09833	-1.00000e+00	
1.08401   	-2.24778e+01	-3.04287e+01	-3.27360e+01		         0.10000	-1.00000e+00	
1.10207   	-2.24223e+01	-3.05797e+01	-3.50192e+01		         0.10167	-1.00000e+00	
1.12013   	-2.23571e+01	-3.27106e+01	-3.73681e+01		         0.10333	-1.00000e+00	
1.13819   	-2.12856e+01	-3.28964e+01	-4.00233e+01		         0.10500	-1.00000e+00	
1.15625   	-2.06340e+01	-3.33451e+01	-3.90323e+01		         0.10667	-2.00000e+00	
1.17430   	-1.84597e+01	-3.27719e+01	-3.95586e+01		         0.10833	-2.00000e+00	
1.19236   	-1.82690e+01	-3.45911e+01	-3.92507e+01		         0.11000	-2.00000e+00	
1.21042   	-1.81072e+01	-3.80861e+01	-3.65809e+01		         0.11167	-2.00000e+00	
1.22848   	-1.76565e+01	-3.84504e+01	-3.34998e+01		         0.11333	-2.00000e+00	
1.24654   	-1.78525e+01	-4.00510e+01	-3.35016e+01		         0.11500	-2.00000e+00	
1.26459   	-2.11328e+01	-4.39059e+01	-3.33108e+01		         0.11667	-2.00000e+00	
1.28265   	-2.26833e+01	-4.56994e+01	-3.32631e+01		         0.11833	-3.00000e+00	
1.30071   	-2.29553e+01	-4.55088e+01	-3.57075e+01		         0.12000	-3.00000e+00	
1.31877   	-2.33927e+01	-4.58362e+01	-3.66549e+01		         0.12167	-3.00000e+00	
1.33683   	-2.50781e+01	-4.80067e+01	-3.52746e+01		         0.12333	-3.00000e+00	
1.35488   	-2.66466e+01	-4.78309e+01	-3.61860e+01		         0.12500	-3.00000e+00	
1.37294   	-2.65665e+01	-4.65136e+01	-3.56753e+01		         0.12667	-2.00000e+00	
1.39100   	-2.73441e+01	-4.53959e+01	-3.49030e+01		         0.12833	-2.00000e+00	
1.40906   	-2.79112e+01	-4.42967e+01	-3.67195e+01		         0.13000	-2.00000e+00	
1.42712   	-2.88641e+01	-4.44207e+01	-3.63163e+01		         0.13167	-2.00000e+00	
1.44517   	-2.79465e+01	-4.21365e+01	-3.81565e+01		         0.13333	-1.00000e+00	
