Grayscale intensity, in dB

Time (s) :	Trace 1 : 	Trace 2 : 	Trace 3 : 		Ecg : 		
0.00150   	-2.54112e+01	-4.08467e+01	-3.27913e+01		         0.00000	-3.00000e+00	
0.02226   	-2.47002e+01	-3.99715e+01	-3.36120e+01		         0.00167	-2.00000e+00	
0.04301   	-2.40852e+01	-3.93587e+01	-3.35701e+01		         0.00333	0.00000e+00	
0.06377   	-2.32459e+01	-4.06533e+01	-3.40351e+01		         0.00500	1.00000e+00	
0.08452   	-2.13458e+01	-4.16615e+01	-3.46426e+01		         0.00667	3.00000e+00	
0.10527   	-2.02578e+01	-4.12409e+01	-3.27349e+01		         0.00833	5.00000e+00	
0.12602   	-1.76860e+01	-4.12402e+01	-3.34868e+01		         0.01000	8.00000e+00	
0.14678   	-1.64036e+01	-3.60971e+01	-3.18879e+01		         0.01167	1.10000e+01	
0.16753   	-1.66915e+01	-3.33183e+01	-3.19523e+01		         0.01333	1.60000e+01	
0.18828   	-1.72668e+01	-2.86500e+01	-3.08195e+01		         0.01500	2.20000e+01	
0.20904   	-1.80076e+01	-2.11477e+01	-3.17476e+01		         0.01667	3.00000e+01	
0.22979   	-1.92206e+01	-2.02144e+01	-3.17699e+01		         0.01833	4.10000e+01	
0.25054   	-2.14072e+01	-1.57439e+01	-3.10127e+01		         0.02000	5.50000e+01	
0.27130   	-2.35991e+01	-1.80920e+01	-3.39032e+01		         0.02167	7.20000e+01	
0.29205   	-2.53464e+01	-2.22178e+01	-3.32377e+01		         0.02333	9.10000e+01	
0.31281   	-2.81900e+01	-2.48532e+01	-3.16057e+01		         0.02500	1.14000e+02	
0.33356   	-3.09484e+01	-2.59263e+01	-3.40482e+01		         0.02667	1.38000e+02	
0.35431   	-3.10146e+01	-2.75995e+01	-2.95860e+01		         0.02833	1.63000e+02	
0.37506   	-3.13878e+01	-2.73414e+01	-2.90325e+01		         0.03000	1.88000e+02	
0.39582   	-3.16269e+01	-2.60235e+01	-3.21344e+01		         0.03167	2.12000e+02	
0.41657   	-3.18089e+01	-2.68642e+01	-3.12113e+01		         0.03333	2.32000e+02	
0.43732   	-3.14864e+01	-2.98908e+01	-3.26862e+01		         0.03500	2.49000e+02	
0.45808   	-3.15185e+01	-3.38095e+01	-3.19588e+01		         0.03667	2.61000e+02	
0.47884   	-3.20212e+01	-3.19156e+01	-3.43016e+01		         0.03833	2.67000e+02	
0.49958   	-3.25857e+01	-3.11677e+01	-3.48922e+01		         0.04000	2.66000e+02	
0.52034   	-3.13540e+01	-3.15337e+01	-3.74681e+01		         0.04167	2.58000e+02	
0.54109   	-3.02178e+01	-2.78124e+01	-3.52893e+01		         0.04333	2.45000e+02	
0.56185   	-3.06656e+01	-2.92857e+01	-3.60467e+01		         0.04500	2.25000e+02	
0.58260   	-2.81955e+01	-2.89603e+01	-3.39954e+01		         0.04667	2.01000e+02	
0.60335   	-2.61554e+01	-2.96780e+01	-3.48659e+01		         0.04833	1.73000e+02	
0.62410   	-2.41576e+01	-3.02864e+01	-3.53838e+01		         0.05000	1.42000e+02	
