Grayscale intensity, in dB

Time (s) :	Trace 1 : 	Trace 2 : 	Trace 3 : 		Ecg : 		
0.00133   	-2.48499e+01	-3.93939e+01	-2.21429e+01		         0.00000	-2.10000e+01	
0.02019   	-2.25245e+01	-3.87913e+01	-2.22329e+01		         0.00167	-1.70000e+01	
0.03906   	-2.19386e+01	-3.65757e+01	-2.41875e+01		         0.00333	-1.30000e+01	
0.05793   	-1.98806e+01	-3.72106e+01	-2.64825e+01		         0.00500	-7.00000e+00	
0.07680   	-2.18966e+01	-3.95690e+01	-2.69957e+01		         0.00667	0.00000e+00	
0.09566   	-2.39666e+01	-3.85086e+01	-2.60963e+01		         0.00833	9.00000e+00	
0.11453   	-2.08382e+01	-3.63908e+01	-2.54408e+01		         0.01000	1.90000e+01	
0.13339   	-2.26555e+01	-3.44917e+01	-2.41180e+01		         0.01167	3.10000e+01	
0.15226   	-2.47711e+01	-3.12733e+01	-2.15514e+01		         0.01333	4.40000e+01	
0.17113   	-2.49876e+01	-3.24423e+01	-2.19013e+01		         0.01500	6.00000e+01	
0.19000   	-2.57196e+01	-3.28745e+01	-2.19140e+01		         0.01667	7.60000e+01	
0.20886   	-2.55407e+01	-3.40115e+01	-1.82137e+01		         0.01833	9.20000e+01	
0.22773   	-2.46392e+01	-3.67531e+01	-1.87652e+01		         0.02000	1.09000e+02	
0.24659   	-2.51355e+01	-3.84683e+01	-2.08428e+01		         0.02167	1.24000e+02	
0.26546   	-2.71529e+01	-3.83713e+01	-2.19110e+01		         0.02333	1.36000e+02	
0.28433   	-2.93640e+01	-4.32801e+01	-2.06810e+01		         0.02500	1.46000e+02	
0.30319   	-2.91609e+01	-4.33252e+01	-2.04382e+01		         0.02667	1.52000e+02	
0.32206   	-2.89012e+01	-4.50193e+01	-2.11514e+01		         0.02833	1.54000e+02	
0.34093   	-2.81526e+01	-4.50971e+01	-2.08133e+01		         0.03000	1.51000e+02	
0.35979   	-2.89815e+01	-4.46724e+01	-2.00452e+01		         0.03167	1.43000e+02	
0.37866   	-2.77927e+01	-4.39545e+01	-1.83190e+01		         0.03333	1.31000e+02	
0.39753   	-2.58363e+01	-3.97013e+01	-1.81735e+01		         0.03500	1.14000e+02	
0.41639   	-2.43711e+01	-3.89274e+01	-1.77831e+01		         0.03667	9.30000e+01	
0.43526   	-2.39764e+01	-3.80996e+01	-2.07934e+01		         0.03833	6.80000e+01	
0.45413   	-2.41414e+01	-3.62371e+01	-2.25719e+01		         0.04000	4.20000e+01	
0.47300   	-2.56328e+01	-4.01904e+01	-2.44449e+01		         0.04167	1.50000e+01	
0.49186   	-2.50146e+01	-3.83253e+01	-2.31401e+01		         0.04333	-1.20000e+01	
0.51073   	-2.61324e+01	-3.92796e+01	-2.43404e+01		         0.04500	-3.70000e+01	
0.52959   	-2.64551e+01	-3.89272e+01	-2.41651e+01		         0.04667	-6.00000e+01	
0.54846   	-2.60143e+01	-3.97929e+01	-2.44450e+01		         0.04833	-8.00000e+01	
0.56733   	-2.53954e+01	-3.92686e+01	-2.40948e+01		         0.05000	-9.70000e+01	
0.58619   	-2.38153e+01	-4.08744e+01	-2.46031e+01		         0.05167	-1.09000e+02	
0.60506   	-2.15279e+01	-3.84281e+01	-2.39184e+01		         0.05333	-1.19000e+02	
0.62393   	-2.14103e+01	-4.12226e+01	-2.32175e+01		         0.05500	-1.24000e+02	
0.64280   	-2.13755e+01	-4.14802e+01	-2.28019e+01		         0.05667	-1.26000e+02	
0.66166   	-2.31860e+01	-4.12634e+01	-2.24376e+01		         0.05833	-1.25000e+02	
0.68053   	-2.54902e+01	-4.01089e+01	-2.27780e+01		         0.06000	-1.22000e+02	
0.69939   	-2.62406e+01	-3.98969e+01	-2.29656e+01		         0.06167	-1.17000e+02	
0.71826   	-2.73674e+01	-4.01235e+01	-2.38339e+01		         0.06333	-1.10000e+02	
0.73713   	-2.79862e+01	-3.96753e+01	-2.47710e+01		         0.06500	-1.03000e+02	
0.75600   	-2.78282e+01	-4.02978e+01	-2.43225e+01		         0.06667	-9.40000e+01	
0.77486   	-2.77799e+01	-4.12168e+01	-2.35913e+01		         0.06833	-8.60000e+01	
0.79373   	-2.79857e+01	-4.17459e+01	-2.33681e+01		         0.07000	-7.80000e+01	
0.81260   	-2.75893e+01	-4.22536e+01	-2.34921e+01		         0.07167	-7.00000e+01	
0.83146   	-2.65231e+01	-4.04589e+01	-2.34267e+01		         0.07333	-6.30000e+01	
0.85033   	-2.67146e+01	-3.95790e+01	-2.34693e+01		         0.07500	-5.60000e+01	
0.86920   	-2.55950e+01	-3.68268e+01	-2.28076e+01		         0.07667	-5.00000e+01	
0.88806   	-1.96730e+01	-3.62223e+01	-2.53073e+01		         0.07833	-4.50000e+01	
0.90693   	-1.85997e+01	-3.44624e+01	-2.80618e+01		         0.08000	-4.10000e+01	
0.92580   	-2.03998e+01	-3.82386e+01	-2.82644e+01		         0.08167	-3.80000e+01	
0.94466   	-2.45051e+01	-3.97440e+01	-2.83909e+01		         0.08333	-3.40000e+01	
0.96353   	-2.61284e+01	-3.77002e+01	-2.80054e+01		         0.08500	-3.20000e+01	
0.98239   	-2.61257e+01	-3.62085e+01	-2.69629e+01		         0.08667	-2.90000e+01	
1.00126   	-2.70225e+01	-3.39186e+01	-2.48418e+01		         0.08833	-2.70000e+01	
1.02013   	-2.70544e+01	-3.35586e+01	-2.53605e+01		         0.09000	-2.60000e+01	
1.03900   	-2.86973e+01	-3.50701e+01	-2.39954e+01		         0.09167	-2.50000e+01	
1.05786   	-2.82115e+01	-3.55485e+01	-2.25896e+01		         0.09333	-2.50000e+01	
1.07673   	-2.98812e+01	-4.00468e+01	-2.48384e+01		         0.09500	-2.50000e+01	
1.09559   	-3.17337e+01	-4.19457e+01	-2.61495e+01		         0.09667	-2.50000e+01	
1.11446   	-3.37306e+01	-4.54781e+01	-2.65289e+01		         0.09833	-2.60000e+01	
1.13333   	-3.26146e+01	-4.72646e+01	-2.70874e+01		         0.10000	-2.70000e+01	
1.15220   	-3.10205e+01	-4.93719e+01	-2.68910e+01		         0.10167	-2.70000e+01	
1.17106   	-2.94935e+01	-5.28722e+01	-2.69986e+01		         0.10333	-2.80000e+01	
1.18993   	-3.05186e+01	-5.12880e+01	-2.71425e+01		         0.10500	-2.80000e+01	
1.20880   	-3.41088e+01	-5.20070e+01	-2.73683e+01		         0.10667	-2.90000e+01	
1.22766   	-3.24683e+01	-5.17967e+01	-2.68986e+01		         0.10833	-2.90000e+01	
1.24653   	-3.04921e+01	-4.95862e+01	-2.81450e+01		         0.11000	-2.90000e+01	
1.26540   	-3.27100e+01	-4.84582e+01	-2.58688e+01		         0.11167	-2.80000e+01	
1.28426   	-3.32261e+01	-4.63099e+01	-2.57965e+01		         0.11333	-2.80000e+01	
1.30313   	-3.05107e+01	-4.43447e+01	-2.53427e+01		         0.11500	-2.70000e+01	
1.32200   	-3.23232e+01	-4.45955e+01	-2.55033e+01		         0.11667	-2.60000e+01	
1.34086   	-3.42720e+01	-4.41948e+01	-2.55487e+01		         0.11833	-2.40000e+01	
1.35973   	-3.28634e+01	-4.37374e+01	-2.39041e+01		         0.12000	-2.30000e+01	
1.37860   	-3.21947e+01	-4.26306e+01	-2.42649e+01		         0.12167	-2.20000e+01	
1.39746   	-3.08197e+01	-4.43248e+01	-2.48111e+01		         0.12333	-2.00000e+01	
1.41633   	-3.04520e+01	-4.39006e+01	-2.53610e+01		         0.12500	-2.00000e+01	
1.43520   	-2.99380e+01	-4.34418e+01	-2.54495e+01		         0.12667	-1.90000e+01	
1.45406   	-2.76533e+01	-4.33828e+01	-2.45261e+01		         0.12833	-1.80000e+01	
1.47293   	-2.70228e+01	-4.14366e+01	-2.45860e+01		         0.13000	-1.70000e+01	
1.49180   	-2.67862e+01	-4.11770e+01	-2.45195e+01		         0.13167	-1.60000e+01	
1.51066   	-2.66367e+01	-4.02697e+01	-2.48371e+01		         0.13333	-1.60000e+01	
1.52953   	-2.66399e+01	-4.03943e+01	-2.47707e+01		         0.13500	-1.50000e+01	
1.54840   	-2.67217e+01	-4.18071e+01	-2.49643e+01		         0.13667	-1.40000e+01	
1.56727   	-2.65137e+01	-4.19875e+01	-2.51079e+01		         0.13833	-1.30000e+01	
1.58613   	-2.62834e+01	-4.23899e+01	-2.51490e+01		         0.14000	-1.30000e+01	
1.60500   	-2.63316e+01	-4.24939e+01	-2.51191e+01		         0.14167	-1.20000e+01	
1.62386   	-2.62202e+01	-4.27023e+01	-2.48572e+01		         0.14333	-1.20000e+01	
1.64273   	-2.62802e+01	-4.30641e+01	-2.44400e+01		         0.14500	-1.10000e+01	
1.66160   	-2.66777e+01	-4.47821e+01	-2.42619e+01		         0.14667	-1.00000e+01	
1.68078   	-2.74435e+01	-4.43815e+01	-2.41674e+01		         0.14833	-1.00000e+01	
1.69933   	-2.75470e+01	-4.45132e+01	-2.34688e+01		         0.15000	-9.00000e+00	
1.71820   	-2.75538e+01	-4.25348e+01	-2.30918e+01		         0.15167	-9.00000e+00	
1.73706   	-2.60630e+01	-4.09939e+01	-2.29190e+01		         0.15333	-9.00000e+00	
1.75593   	-2.63694e+01	-4.00271e+01	-2.52412e+01		         0.15500	-9.00000e+00	
1.77480   	-2.09807e+01	-3.97690e+01	-2.75354e+01		         0.15667	-9.00000e+00	
1.79366   	-2.52841e+01	-4.11235e+01	-3.04567e+01		         0.15833	-9.00000e+00	
1.81253   	-2.74107e+01	-4.00841e+01	-2.98748e+01		         0.16000	-8.00000e+00	
1.83140   	-2.83616e+01	-4.00304e+01	-2.95860e+01		         0.16167	-8.00000e+00	
1.85027   	-2.75610e+01	-4.00065e+01	-2.81252e+01		         0.16333	-8.00000e+00	
1.86913   	-2.93020e+01	-3.67270e+01	-2.54248e+01		         0.16500	-8.00000e+00	
1.88800   	-3.12526e+01	-3.56155e+01	-2.74701e+01		         0.16667	-7.00000e+00	
1.90687   	-3.26786e+01	-3.65809e+01	-2.51582e+01		         0.16833	-7.00000e+00	
1.92573   	-3.34506e+01	-3.96222e+01	-2.41127e+01		         0.17000	-7.00000e+00	
1.94460   	-3.39466e+01	-4.22705e+01	-2.47906e+01		         0.17167	-7.00000e+00	
1.96346   	-3.51725e+01	-4.51145e+01	-2.38596e+01		         0.17333	-7.00000e+00	
1.98233   	-3.50166e+01	-4.45595e+01	-2.40517e+01		         0.17500	-6.00000e+00	
2.00120   	-3.29439e+01	-4.90040e+01	-2.57296e+01		         0.17667	-6.00000e+00	
2.02006   	-3.10180e+01	-5.08763e+01	-2.59620e+01		         0.17833	-5.00000e+00	
2.03893   	-3.02451e+01	-5.33743e+01	-2.57102e+01		         0.18000	-5.00000e+00	
2.05780   	-3.04295e+01	-5.39804e+01	-2.68587e+01		         0.18167	-5.00000e+00	
2.07666   	-3.23378e+01	-5.49849e+01	-2.65584e+01		         0.18333	-5.00000e+00	
2.09553   	-3.43894e+01	-5.40890e+01	-2.60329e+01		         0.18500	-5.00000e+00	
2.11440   	-3.36531e+01	-5.39886e+01	-2.47486e+01		         0.18667	-5.00000e+00	
2.13327   	-3.39250e+01	-4.95934e+01	-2.44565e+01		         0.18833	-5.00000e+00	
2.15214   	-3.41777e+01	-4.91066e+01	-2.42274e+01		         0.19000	-5.00000e+00	
2.17100   	-3.40125e+01	-4.38299e+01	-2.55737e+01		         0.19167	-5.00000e+00	
2.18987   	-3.67099e+01	-4.49723e+01	-2.42262e+01		         0.19333	-5.00000e+00	
2.20873   	-3.82114e+01	-4.67447e+01	-2.57237e+01		         0.19500	-5.00000e+00	
2.22760   	-3.61927e+01	-4.96819e+01	-2.40500e+01		         0.19667	-5.00000e+00	
2.24646   	-3.52102e+01	-4.65593e+01	-2.36882e+01		         0.19833	-5.00000e+00	
2.26534   	-3.26653e+01	-4.46915e+01	-2.44801e+01		         0.20000	-5.00000e+00	
2.28420   	-3.05598e+01	-4.42431e+01	-2.53750e+01		         0.20167	-5.00000e+00	
2.30306   	-3.06168e+01	-4.51048e+01	-2.44192e+01		         0.20333	-5.00000e+00	
