Grayscale intensity, in dB

Time (s) :	Trace 1 : 	Trace 2 : 	Trace 3 : 		Ecg : 		
0.00133   	-1.70355e+01	-3.37390e+01	-4.88404e+01		         0.00000	6.00000e+00	
0.01508   	-1.65693e+01	-3.48752e+01	-4.86452e+01		         0.00167	1.40000e+01	
0.02882   	-1.59758e+01	-3.64944e+01	-4.86108e+01		         0.00333	2.30000e+01	
0.04257   	-1.58602e+01	-3.66727e+01	-4.67081e+01		         0.00500	3.60000e+01	
0.05632   	-1.74524e+01	-3.96790e+01	-4.73106e+01		         0.00667	5.20000e+01	
0.07020   	-1.59270e+01	-4.22482e+01	-4.78169e+01		         0.00833	7.00000e+01	
0.08381   	-1.39699e+01	-3.97568e+01	-4.69579e+01		         0.01000	9.00000e+01	
0.09755   	-1.40147e+01	-4.00113e+01	-4.60743e+01		         0.01167	1.12000e+02	
0.11130   	-1.47692e+01	-3.86513e+01	-4.65551e+01		         0.01333	1.33000e+02	
0.12505   	-1.55751e+01	-3.84207e+01	-4.75026e+01		         0.01500	1.55000e+02	
0.13879   	-1.71879e+01	-3.78570e+01	-4.82655e+01		         0.01667	1.74000e+02	
0.15254   	-1.76504e+01	-3.67196e+01	-4.81797e+01		         0.01833	1.91000e+02	
0.16628   	-1.67357e+01	-3.79559e+01	-4.90098e+01		         0.02000	2.05000e+02	
0.18003   	-1.71695e+01	-4.02538e+01	-5.07808e+01		         0.02167	2.15000e+02	
0.19377   	-1.71614e+01	-3.84677e+01	-5.07344e+01		         0.02333	2.20000e+02	
0.20752   	-1.77557e+01	-3.89238e+01	-5.09296e+01		         0.02500	2.21000e+02	
0.22126   	-1.95833e+01	-4.06286e+01	-4.94260e+01		         0.02667	2.16000e+02	
0.23501   	-1.99958e+01	-4.18345e+01	-4.94982e+01		         0.02833	2.07000e+02	
0.24876   	-2.15545e+01	-4.41376e+01	-4.87307e+01		         0.03000	1.94000e+02	
0.26250   	-2.33349e+01	-4.46108e+01	-5.00756e+01		         0.03167	1.78000e+02	
0.27625   	-2.36731e+01	-4.72968e+01	-4.83206e+01		         0.03333	1.60000e+02	
0.29000   	-2.41006e+01	-4.83379e+01	-4.81573e+01		         0.03500	1.40000e+02	
0.30374   	-2.40678e+01	-4.74588e+01	-4.92519e+01		         0.03667	1.21000e+02	
0.31748   	-2.28179e+01	-4.82580e+01	-4.94918e+01		         0.03833	1.01000e+02	
0.33124   	-2.11701e+01	-4.77053e+01	-4.90000e+01		         0.04000	8.10000e+01	
0.34498   	-2.19402e+01	-4.85779e+01	-4.97766e+01		         0.04167	6.30000e+01	
0.35872   	-2.23126e+01	-4.78388e+01	-4.88063e+01		         0.04333	4.60000e+01	
0.37247   	-2.22087e+01	-4.76236e+01	-4.71660e+01		         0.04500	3.00000e+01	
0.38621   	-2.24161e+01	-4.78201e+01	-4.70886e+01		         0.04667	1.50000e+01	
0.39996   	-2.29079e+01	-4.36177e+01	-4.62960e+01		         0.04833	2.00000e+00	
0.41371   	-2.33795e+01	-4.14707e+01	-4.67305e+01		         0.05000	-1.00000e+01	
0.42745   	-2.45349e+01	-4.02343e+01	-4.62129e+01		         0.05167	-2.10000e+01	
0.44120   	-2.29171e+01	-4.13579e+01	-4.69668e+01		         0.05333	-3.00000e+01	
0.45495   	-2.09888e+01	-3.92828e+01	-4.72271e+01		         0.05500	-3.90000e+01	
0.46869   	-1.83812e+01	-3.79278e+01	-4.70219e+01		         0.05667	-4.80000e+01	
0.48243   	-1.64195e+01	-3.60554e+01	-4.70278e+01		         0.05833	-5.50000e+01	
0.49618   	-1.57577e+01	-3.49660e+01	-4.45895e+01		         0.06000	-6.20000e+01	
0.50993   	-1.60197e+01	-3.61077e+01	-4.58398e+01		         0.06167	-6.80000e+01	
0.52367   	-1.41646e+01	-3.44794e+01	-4.58101e+01		         0.06333	-7.20000e+01	
0.53742   	-1.14169e+01	-3.32307e+01	-4.37987e+01		         0.06500	-7.60000e+01	
0.55116   	-1.23571e+01	-3.15461e+01	-4.29795e+01		         0.06667	-7.90000e+01	
0.56491   	-1.41047e+01	-3.02179e+01	-4.38552e+01		         0.06833	-8.10000e+01	
0.57866   	-1.62478e+01	-3.00343e+01	-4.38215e+01		         0.07000	-8.20000e+01	
0.59240   	-1.73848e+01	-2.91286e+01	-4.40829e+01		         0.07167	-8.30000e+01	
0.60615   	-1.56675e+01	-2.97333e+01	-4.41187e+01		         0.07333	-8.30000e+01	
0.61989   	-1.38804e+01	-3.10666e+01	-4.48666e+01		         0.07500	-8.20000e+01	
0.63364   	-1.61252e+01	-3.24934e+01	-4.49664e+01		         0.07667	-8.10000e+01	
0.64738   	-1.58228e+01	-3.27102e+01	-4.51488e+01		         0.07833	-7.90000e+01	
0.66113   	-1.61260e+01	-3.15733e+01	-4.49496e+01		         0.08000	-7.70000e+01	
0.67488   	-1.67180e+01	-3.24372e+01	-4.39127e+01		         0.08167	-7.50000e+01	
0.68862   	-1.64901e+01	-3.30214e+01	-4.31974e+01		         0.08333	-7.40000e+01	
0.70237   	-1.59613e+01	-3.28987e+01	-4.08640e+01		         0.08500	-7.20000e+01	
0.71611   	-1.56027e+01	-3.00595e+01	-3.74813e+01		         0.08667	-7.10000e+01	
0.72986   	-1.58139e+01	-2.78031e+01	-3.81707e+01		         0.08833	-7.00000e+01	
0.74360   	-1.45609e+01	-2.64894e+01	-4.10398e+01		         0.09000	-6.90000e+01	
0.75735   	-1.50194e+01	-2.43932e+01	-4.27548e+01		         0.09167	-6.80000e+01	
0.77110   	-1.52135e+01	-2.71480e+01	-4.31011e+01		         0.09333	-6.80000e+01	
0.78484   	-1.58452e+01	-2.68286e+01	-4.32559e+01		         0.09500	-6.70000e+01	
0.79859   	-1.63879e+01	-2.91265e+01	-4.34215e+01		         0.09667	-6.70000e+01	
0.81233   	-1.83568e+01	-3.30356e+01	-4.49819e+01		         0.09833	-6.60000e+01	
0.82608   	-2.07021e+01	-3.42775e+01	-4.37050e+01		         0.10000	-6.50000e+01	
0.83983   	-2.08590e+01	-3.80410e+01	-4.15716e+01		         0.10167	-6.40000e+01	
0.85357   	-1.98349e+01	-3.85754e+01	-4.21140e+01		         0.10333	-6.30000e+01	
0.86732   	-2.37452e+01	-4.13085e+01	-4.17938e+01		         0.10500	-6.20000e+01	
0.88106   	-2.43032e+01	-4.23737e+01	-4.13929e+01		         0.10667	-6.10000e+01	
0.89481   	-2.48747e+01	-4.48683e+01	-4.22115e+01		         0.10833	-5.90000e+01	
0.90855   	-2.59033e+01	-4.47088e+01	-3.94769e+01		         0.11000	-5.80000e+01	
0.92230   	-2.65255e+01	-4.72347e+01	-3.88775e+01		         0.11167	-5.60000e+01	
0.93605   	-2.64343e+01	-4.52973e+01	-3.78513e+01		         0.11333	-5.40000e+01	
0.95013   	-2.65905e+01	-4.66146e+01	-3.71776e+01		         0.11500	-5.30000e+01	
0.96354   	-2.65581e+01	-4.70937e+01	-3.89239e+01		         0.11667	-5.10000e+01	
0.97728   	-2.69622e+01	-4.61429e+01	-3.93919e+01		         0.11833	-4.90000e+01	
0.99103   	-2.74698e+01	-4.58674e+01	-3.87348e+01		         0.12000	-4.70000e+01	
1.00477   	-2.62358e+01	-4.48825e+01	-3.84214e+01		         0.12167	-4.60000e+01	
1.01852   	-2.60630e+01	-4.34500e+01	-3.72545e+01		         0.12333	-4.40000e+01	
1.03226   	-2.37605e+01	-4.26098e+01	-3.77434e+01		         0.12500	-4.30000e+01	
1.04601   	-2.42418e+01	-4.23194e+01	-3.88207e+01		         0.12667	-4.10000e+01	
1.05976   	-2.48558e+01	-4.10444e+01	-3.98585e+01		         0.12833	-4.00000e+01	
1.07350   	-2.41327e+01	-4.01483e+01	-4.18458e+01		         0.13000	-3.90000e+01	
1.08725   	-2.52079e+01	-4.15983e+01	-4.12501e+01		         0.13167	-3.80000e+01	
1.10099   	-2.42837e+01	-4.17098e+01	-4.18949e+01		         0.13333	-3.60000e+01	
1.11474   	-1.78635e+01	-4.11043e+01	-4.06481e+01		         0.13500	-3.50000e+01	
1.12849   	-1.56471e+01	-4.18785e+01	-4.07728e+01		         0.13667	-3.50000e+01	
1.14223   	-1.51599e+01	-4.30019e+01	-3.92039e+01		         0.13833	-3.40000e+01	
1.15598   	-1.43542e+01	-4.24478e+01	-3.91067e+01		         0.14000	-3.30000e+01	
1.16972   	-1.41146e+01	-4.31193e+01	-3.88081e+01		         0.14167	-3.20000e+01	
1.18347   	-1.38289e+01	-4.29690e+01	-3.87187e+01		         0.14333	-3.00000e+01	
1.19721   	-1.38427e+01	-4.41276e+01	-3.88532e+01		         0.14500	-2.90000e+01	
1.21096   	-1.39885e+01	-4.42396e+01	-3.94936e+01		         0.14667	-2.70000e+01	
1.22471   	-1.42814e+01	-4.24563e+01	-3.98054e+01		         0.14833	-2.50000e+01	
1.23845   	-1.43776e+01	-4.36821e+01	-4.02241e+01		         0.15000	-2.20000e+01	
1.25220   	-1.64647e+01	-4.15247e+01	-3.99268e+01		         0.15167	-2.00000e+01	
1.26594   	-1.79255e+01	-4.11416e+01	-3.99494e+01		         0.15333	-1.70000e+01	
1.27969   	-1.54763e+01	-4.29448e+01	-3.99525e+01		         0.15500	-1.40000e+01	
1.29344   	-1.36234e+01	-4.33816e+01	-4.21112e+01		         0.15667	-1.10000e+01	
1.30718   	-1.31360e+01	-4.27107e+01	-4.39190e+01		         0.15833	-8.00000e+00	
1.32093   	-1.35464e+01	-4.22013e+01	-4.41707e+01		         0.16000	-5.00000e+00	
1.33467   	-1.29359e+01	-4.31907e+01	-4.55797e+01		         0.16167	-2.00000e+00	
1.34872   	-1.26979e+01	-4.47065e+01	-4.53485e+01		         0.16333	0.00000e+00	
1.36216   	-1.52750e+01	-4.56549e+01	-4.36509e+01		         0.16500	1.00000e+00	
1.37591   	-1.68623e+01	-4.24720e+01	-4.23537e+01		         0.16667	2.00000e+00	
1.38966   	-1.55156e+01	-3.71891e+01	-4.06658e+01		         0.16833	3.00000e+00	
1.40340   	-1.46077e+01	-3.58743e+01	-3.74661e+01		         0.17000	3.00000e+00	
1.41714   	-1.35760e+01	-3.04279e+01	-3.85922e+01		         0.17167	3.00000e+00	
1.43089   	-1.32342e+01	-3.07915e+01	-4.09268e+01		         0.17333	3.00000e+00	
1.44464   	-1.35717e+01	-3.35832e+01	-4.04169e+01		         0.17500	3.00000e+00	
1.45838   	-1.42566e+01	-3.95325e+01	-3.73122e+01		         0.17667	3.00000e+00	
1.47213   	-1.72814e+01	-4.29498e+01	-3.81744e+01		         0.17833	2.00000e+00	
1.48588   	-2.33784e+01	-4.53706e+01	-3.50810e+01		         0.18000	2.00000e+00	
1.49962   	-2.33817e+01	-4.82030e+01	-3.78051e+01		         0.18167	2.00000e+00	
1.51336   	-2.35259e+01	-4.72851e+01	-4.07187e+01		         0.18333	2.00000e+00	
1.52711   	-2.45496e+01	-4.86693e+01	-4.00384e+01		         0.18500	2.00000e+00	
1.54086   	-2.51994e+01	-4.95222e+01	-3.91974e+01		         0.18667	2.00000e+00	
1.55460   	-2.66850e+01	-4.96294e+01	-4.00595e+01		         0.18833	2.00000e+00	
1.56835   	-2.71010e+01	-5.11582e+01	-3.98842e+01		         0.19000	2.00000e+00	
1.58209   	-2.70660e+01	-5.12785e+01	-3.95962e+01		         0.19167	1.00000e+00	
1.59584   	-2.73069e+01	-5.16409e+01	-3.91079e+01		         0.19333	1.00000e+00	
1.60959   	-2.66208e+01	-5.14233e+01	-3.89027e+01		         0.19500	0.00000e+00	
1.62333   	-2.61983e+01	-5.24641e+01	-3.80226e+01		         0.19667	0.00000e+00	
1.63708   	-2.61571e+01	-5.13531e+01	-3.83466e+01		         0.19833	0.00000e+00	
