Grayscale intensity, in dB

Time (s) :	Trace 1 : 	Trace 2 : 	Trace 3 : 		Ecg : 		
0.00104   	-4.00573e+01	-3.25254e+01	-3.55791e+01		         0.00000	2.60000e+01	
0.01802   	-4.10945e+01	-3.15488e+01	-3.30021e+01		         0.00167	5.00000e+01	
0.03500   	-4.53593e+01	-2.97229e+01	-3.41893e+01		         0.00333	7.80000e+01	
0.05198   	-4.79865e+01	-2.69520e+01	-3.31889e+01		         0.00500	1.09000e+02	
0.06896   	-4.81521e+01	-3.04728e+01	-3.56576e+01		         0.00667	1.46000e+02	
0.08604   	-4.93170e+01	-3.42999e+01	-3.41846e+01		         0.00833	1.88000e+02	
0.10292   	-4.94000e+01	-3.61413e+01	-3.39949e+01		         0.01000	2.34000e+02	
0.11990   	-4.94370e+01	-3.60898e+01	-3.18921e+01		         0.01167	2.85000e+02	
0.13688   	-4.93860e+01	-3.65560e+01	-3.02084e+01		         0.01333	3.39000e+02	
0.15386   	-4.93628e+01	-3.73932e+01	-3.26260e+01		         0.01500	3.93000e+02	
0.17084   	-4.90467e+01	-3.75570e+01	-3.23068e+01		         0.01667	4.45000e+02	
0.18782   	-4.83680e+01	-3.98119e+01	-3.37214e+01		         0.01833	4.90000e+02	
0.20480   	-4.76374e+01	-4.27337e+01	-3.42111e+01		         0.02000	5.25000e+02	
0.22179   	-4.73922e+01	-4.58380e+01	-3.59993e+01		         0.02167	5.47000e+02	
0.23876   	-4.60722e+01	-4.40314e+01	-3.66437e+01		         0.02333	5.55000e+02	
0.25574   	-4.51473e+01	-4.05654e+01	-3.64362e+01		         0.02500	5.47000e+02	
0.27272   	-4.44078e+01	-4.06429e+01	-3.65801e+01		         0.02667	5.25000e+02	
0.28970   	-4.48244e+01	-3.91127e+01	-3.66318e+01		         0.02833	4.86000e+02	
0.30668   	-4.59912e+01	-4.19236e+01	-3.76266e+01		         0.03000	4.34000e+02	
0.32366   	-4.56694e+01	-4.20380e+01	-3.70433e+01		         0.03167	3.69000e+02	
0.34065   	-4.58294e+01	-4.35045e+01	-3.64063e+01		         0.03333	2.93000e+02	
0.35762   	-4.58331e+01	-4.51573e+01	-3.54959e+01		         0.03500	2.10000e+02	
0.37460   	-4.65109e+01	-4.58756e+01	-3.44993e+01		         0.03667	1.25000e+02	
0.39158   	-4.60262e+01	-4.31285e+01	-3.60226e+01		         0.03833	4.10000e+01	
0.40856   	-4.37305e+01	-4.08728e+01	-3.69520e+01		         0.04000	-3.60000e+01	
0.42554   	-4.05310e+01	-4.07355e+01	-3.65826e+01		         0.04167	-1.05000e+02	
0.44252   	-3.81262e+01	-3.95610e+01	-3.71041e+01		         0.04333	-1.63000e+02	
0.45949   	-3.52834e+01	-4.31996e+01	-4.02281e+01		         0.04500	-2.10000e+02	
0.47648   	-3.48756e+01	-4.05706e+01	-4.34096e+01		         0.04667	-2.44000e+02	
0.49345   	-3.46347e+01	-4.17365e+01	-4.05991e+01		         0.04833	-2.67000e+02	
0.51044   	-3.52156e+01	-3.98085e+01	-3.99745e+01		         0.05000	-2.80000e+02	
0.52742   	-3.65369e+01	-3.95157e+01	-3.92356e+01		         0.05167	-2.85000e+02	
0.54440   	-3.79428e+01	-3.90789e+01	-3.93453e+01		         0.05333	-2.83000e+02	
0.56138   	-3.83992e+01	-3.92566e+01	-3.85891e+01		         0.05500	-2.75000e+02	
0.57836   	-3.88294e+01	-4.00982e+01	-4.03974e+01		         0.05667	-2.63000e+02	
0.59534   	-3.87672e+01	-3.98121e+01	-4.08929e+01		         0.05833	-2.49000e+02	
0.61232   	-3.85041e+01	-3.95348e+01	-3.99670e+01		         0.06000	-2.34000e+02	
0.62930   	-3.90072e+01	-3.89456e+01	-3.92755e+01		         0.06167	-2.19000e+02	
0.64628   	-3.93736e+01	-3.91147e+01	-3.93737e+01		         0.06333	-2.04000e+02	
0.66326   	-4.03047e+01	-3.88499e+01	-4.08860e+01		         0.06500	-1.91000e+02	
0.68024   	-4.26895e+01	-3.67584e+01	-4.07640e+01		         0.06667	-1.79000e+02	
0.69722   	-4.23050e+01	-3.45938e+01	-4.07618e+01		         0.06833	-1.68000e+02	
0.71420   	-4.54332e+01	-3.22634e+01	-3.44748e+01		         0.07000	-1.59000e+02	
0.73118   	-4.65084e+01	-3.07337e+01	-3.36249e+01		         0.07167	-1.51000e+02	
0.74816   	-4.79906e+01	-3.04181e+01	-3.00994e+01		         0.07333	-1.45000e+02	
0.76514   	-4.94717e+01	-3.21291e+01	-3.00931e+01		         0.07500	-1.39000e+02	
0.78212   	-4.96437e+01	-3.12777e+01	-3.09684e+01		         0.07667	-1.34000e+02	
0.79910   	-4.80899e+01	-3.35219e+01	-3.27666e+01		         0.07833	-1.29000e+02	
0.81608   	-4.83631e+01	-3.36503e+01	-3.29176e+01		         0.08000	-1.25000e+02	
0.83312   	-4.88554e+01	-3.29856e+01	-3.29488e+01		         0.08167	-1.22000e+02	
0.85004   	-4.88151e+01	-3.55918e+01	-3.25388e+01		         0.08333	-1.18000e+02	
0.86702   	-4.87898e+01	-3.52902e+01	-2.90663e+01		         0.08500	-1.14000e+02	
0.88400   	-4.87888e+01	-3.53808e+01	-2.76215e+01		         0.08667	-1.11000e+02	
0.90098   	-4.91665e+01	-3.85546e+01	-2.69829e+01		         0.08833	-1.07000e+02	
0.91796   	-5.02160e+01	-3.97717e+01	-2.86396e+01		         0.09000	-1.04000e+02	
0.93494   	-5.18253e+01	-4.09134e+01	-2.86996e+01		         0.09167	-1.01000e+02	
0.95192   	-5.12050e+01	-4.30611e+01	-2.81084e+01		         0.09333	-9.80000e+01	
0.96890   	-5.01388e+01	-4.51738e+01	-3.09686e+01		         0.09500	-9.50000e+01	
0.98588   	-4.86202e+01	-4.55228e+01	-3.34148e+01		         0.09667	-9.20000e+01	
1.00287   	-4.70669e+01	-4.53754e+01	-3.46281e+01		         0.09833	-8.90000e+01	
1.01984   	-4.62916e+01	-4.84404e+01	-3.36642e+01		         0.10000	-8.60000e+01	
1.03682   	-4.58120e+01	-4.93092e+01	-3.29112e+01		         0.10167	-8.30000e+01	
1.05380   	-4.55797e+01	-5.02309e+01	-3.36468e+01		         0.10333	-8.00000e+01	
1.07078   	-4.43220e+01	-5.05952e+01	-3.40027e+01		         0.10500	-7.70000e+01	
1.08776   	-4.33315e+01	-5.06274e+01	-3.25118e+01		         0.10667	-7.40000e+01	
1.10474   	-4.29260e+01	-5.07149e+01	-3.28633e+01		         0.10833	-7.20000e+01	
1.12172   	-4.38808e+01	-5.06441e+01	-3.36902e+01		         0.11000	-6.90000e+01	
1.13870   	-4.32158e+01	-4.93042e+01	-3.51706e+01		         0.11167	-6.60000e+01	
1.15568   	-4.32016e+01	-4.88210e+01	-3.55717e+01		         0.11333	-6.30000e+01	
1.17266   	-4.30435e+01	-4.94290e+01	-3.75697e+01		         0.11500	-6.00000e+01	
1.18964   	-4.16613e+01	-4.88757e+01	-3.87975e+01		         0.11667	-5.60000e+01	
1.20662   	-4.06636e+01	-4.61572e+01	-4.07668e+01		         0.11833	-5.30000e+01	
1.22360   	-4.11418e+01	-4.76328e+01	-4.15452e+01		         0.12000	-5.00000e+01	
1.24058   	-4.10591e+01	-4.52904e+01	-4.30230e+01		         0.12167	-4.70000e+01	
1.25756   	-4.32121e+01	-4.45242e+01	-3.94051e+01		         0.12333	-4.40000e+01	
1.27455   	-4.48909e+01	-4.51502e+01	-3.83731e+01		         0.12500	-4.20000e+01	
1.29152   	-4.44118e+01	-4.23539e+01	-3.69698e+01		         0.12667	-3.90000e+01	
1.30850   	-4.34289e+01	-4.21204e+01	-3.70306e+01		         0.12833	-3.70000e+01	
1.32548   	-4.29293e+01	-4.16271e+01	-3.72081e+01		         0.13000	-3.40000e+01	
1.34246   	-4.28450e+01	-4.12146e+01	-3.63870e+01		         0.13167	-3.20000e+01	
1.35945   	-4.27650e+01	-4.04017e+01	-3.55312e+01		         0.13333	-3.00000e+01	
1.37642   	-4.27010e+01	-3.95158e+01	-3.60637e+01		         0.13500	-2.80000e+01	
1.39340   	-4.29304e+01	-4.06778e+01	-3.64813e+01		         0.13667	-2.70000e+01	
1.41038   	-4.50976e+01	-3.97804e+01	-3.63398e+01		         0.13833	-2.50000e+01	
1.42736   	-4.50888e+01	-3.82507e+01	-3.66209e+01		         0.14000	-2.30000e+01	
1.44434   	-4.78986e+01	-3.59410e+01	-3.68463e+01		         0.14167	-2.20000e+01	
1.46132   	-4.78596e+01	-3.67959e+01	-3.67177e+01		         0.14333	-2.10000e+01	
1.47830   	-4.73475e+01	-3.43171e+01	-3.30502e+01		         0.14500	-1.90000e+01	
1.49528   	-4.85137e+01	-3.53800e+01	-3.31559e+01		         0.14667	-1.80000e+01	
1.51226   	-4.85574e+01	-3.58718e+01	-3.36513e+01		         0.14833	-1.70000e+01	
					         0.15000	-1.50000e+01	
					         0.15167	-1.40000e+01	
					         0.15333	-1.30000e+01	
					         0.15500	-1.20000e+01	
					         0.15667	-1.10000e+01	
					         0.15833	-9.00000e+00	
					         0.16000	-8.00000e+00	
					         0.16167	-7.00000e+00	
					         0.16333	-5.00000e+00	
					         0.16500	-3.00000e+00	
					         0.16667	-1.00000e+00	
					         0.16833	0.00000e+00	
					         0.17000	2.00000e+00	
					         0.17167	5.00000e+00	
					         0.17333	7.00000e+00	
					         0.17500	9.00000e+00	
					         0.17667	1.10000e+01	
					         0.17833	1.40000e+01	
					         0.18000	1.60000e+01	
					         0.18167	1.90000e+01	
					         0.18333	2.10000e+01	
					         0.18500	2.40000e+01	
					         0.18667	2.60000e+01	
					         0.18833	2.90000e+01	
					         0.19000	3.10000e+01	
					         0.19167	3.40000e+01	
