Grayscale intensity, in dB

Time (s) :	Trace 1 : 	Trace 2 : 	Trace 3 : 		Ecg : 		
0.00120   	-3.35899e+01	-2.57716e+01	-2.79095e+01		         0.00000	1.36000e+02	
0.02007   	-3.35133e+01	-2.63742e+01	-2.82771e+01		         0.00167	1.86000e+02	
0.03893   	-3.28456e+01	-2.67486e+01	-3.03379e+01		         0.00333	2.38000e+02	
0.05780   	-3.27753e+01	-2.64874e+01	-2.91115e+01		         0.00500	2.88000e+02	
0.07667   	-3.26682e+01	-2.83239e+01	-2.83274e+01		         0.00667	3.34000e+02	
0.09554   	-3.23762e+01	-3.04683e+01	-2.84966e+01		         0.00833	3.73000e+02	
0.11440   	-3.17310e+01	-3.19967e+01	-2.98676e+01		         0.01000	4.03000e+02	
0.13327   	-3.17080e+01	-3.42191e+01	-3.04044e+01		         0.01167	4.21000e+02	
0.15213   	-3.22208e+01	-3.46958e+01	-3.03400e+01		         0.01333	4.26000e+02	
0.17101   	-3.20662e+01	-3.02236e+01	-2.88244e+01		         0.01500	4.17000e+02	
0.18987   	-3.11973e+01	-2.71554e+01	-2.86347e+01		         0.01667	3.95000e+02	
0.20874   	-3.11246e+01	-2.52973e+01	-2.90171e+01		         0.01833	3.59000e+02	
0.22760   	-3.13998e+01	-2.59713e+01	-2.60203e+01		         0.02000	3.13000e+02	
0.24647   	-3.14680e+01	-2.50578e+01	-2.26357e+01		         0.02167	2.57000e+02	
0.26534   	-3.28287e+01	-2.37272e+01	-2.40705e+01		         0.02333	1.95000e+02	
0.28420   	-3.34281e+01	-2.44443e+01	-2.25917e+01		         0.02500	1.30000e+02	
0.30307   	-3.31676e+01	-2.71951e+01	-2.40006e+01		         0.02667	6.30000e+01	
0.32193   	-3.29707e+01	-2.99557e+01	-2.65237e+01		         0.02833	-2.00000e+00	
0.34080   	-3.28544e+01	-3.06099e+01	-2.85622e+01		         0.03000	-6.20000e+01	
