Grayscale intensity, in dB

Time (s) :	Trace 1 : 	Trace 2 : 	Trace 3 : 		Ecg : 		
0.00071   	-3.13341e+01	-2.79674e+01	-1.67074e+01		         0.00000	-3.40000e+01	
0.01957   	-3.14922e+01	-3.03635e+01	-1.68661e+01		         0.00167	-3.70000e+01	
0.03844   	-3.08471e+01	-3.07685e+01	-1.66556e+01		         0.00333	-4.00000e+01	
0.05730   	-3.05891e+01	-3.18003e+01	-1.33651e+01		         0.00500	-4.30000e+01	
0.07617   	-2.96587e+01	-2.73428e+01	-1.50292e+01		         0.00667	-4.50000e+01	
0.09504   	-2.98923e+01	-2.49690e+01	-1.51445e+01		         0.00833	-4.60000e+01	
0.11391   	-2.84992e+01	-2.44270e+01	-1.57415e+01		         0.01000	-4.50000e+01	
0.13277   	-2.79516e+01	-2.19507e+01	-1.92981e+01		         0.01167	-4.30000e+01	
0.15164   	-2.80984e+01	-1.75085e+01	-1.57205e+01		         0.01333	-3.70000e+01	
0.17051   	-2.84496e+01	-2.00611e+01	-1.23344e+01		         0.01500	-2.90000e+01	
0.18937   	-2.84816e+01	-1.72913e+01	-1.27278e+01		         0.01667	-1.80000e+01	
0.20824   	-2.64935e+01	-1.61223e+01	-1.51415e+01		         0.01833	-4.00000e+00	
0.22710   	-2.00276e+01	-2.29237e+01	-1.69300e+01		         0.02000	1.20000e+01	
0.24597   	-1.84954e+01	-2.73500e+01	-1.90487e+01		         0.02167	3.10000e+01	
0.26484   	-1.77239e+01	-2.66712e+01	-2.04172e+01		         0.02333	5.20000e+01	
0.28371   	-1.77608e+01	-2.53370e+01	-2.25625e+01		         0.02500	7.40000e+01	
0.30257   	-1.76697e+01	-1.97917e+01	-2.39305e+01		         0.02667	9.60000e+01	
0.32144   	-1.80658e+01	-2.42291e+01	-2.73676e+01		         0.02833	1.17000e+02	
0.34030   	-1.95127e+01	-2.20605e+01	-2.84826e+01		         0.03000	1.38000e+02	
0.35954   	-2.11925e+01	-2.15444e+01	-3.08373e+01		         0.03167	1.55000e+02	
0.37804   	-2.34990e+01	-2.01586e+01	-3.06196e+01		         0.03333	1.70000e+02	
0.39691   	-2.49887e+01	-1.88109e+01	-3.17702e+01		         0.03500	1.82000e+02	
0.41577   	-2.53237e+01	-1.80206e+01	-3.11558e+01		         0.03667	1.88000e+02	
0.43464   	-2.56670e+01	-2.09057e+01	-2.98441e+01		         0.03833	1.90000e+02	
0.45351   	-2.49608e+01	-1.65728e+01	-2.95228e+01		         0.04000	1.87000e+02	
0.47238   	-2.36911e+01	-2.04919e+01	-3.05956e+01		         0.04167	1.78000e+02	
0.49125   	-2.31520e+01	-2.54887e+01	-2.85666e+01		         0.04333	1.64000e+02	
0.51011   	-2.36322e+01	-2.65349e+01	-2.71586e+01		         0.04500	1.46000e+02	
0.52898   	-2.48017e+01	-2.33359e+01	-2.35793e+01		         0.04667	1.23000e+02	
0.54784   	-2.99275e+01	-2.50891e+01	-1.77344e+01		         0.04833	9.80000e+01	
0.56671   	-2.95271e+01	-2.59319e+01	-1.69800e+01		         0.05000	7.10000e+01	
0.58557   	-2.74888e+01	-2.34861e+01	-1.92644e+01		         0.05167	4.30000e+01	
0.60444   	-2.83824e+01	-2.63185e+01	-1.84482e+01		         0.05333	1.50000e+01	
0.62330   	-2.88994e+01	-2.67656e+01	-1.89821e+01		         0.05500	-1.20000e+01	
0.64217   	-2.79759e+01	-2.55810e+01	-1.35846e+01		         0.05667	-3.60000e+01	
0.66104   	-2.71765e+01	-2.67509e+01	-2.31145e+01		         0.05833	-5.70000e+01	
0.67991   	-2.61709e+01	-2.46150e+01	-2.50054e+01		         0.06000	-7.50000e+01	
0.69877   	-2.73135e+01	-2.86732e+01	-2.51175e+01		         0.06167	-8.80000e+01	
0.71764   	-2.76695e+01	-2.97826e+01	-1.78935e+01		         0.06333	-9.70000e+01	
