Grayscale intensity, in dB

Time (s) :	Trace 1 : 	Trace 2 : 	Trace 3 : 		Ecg : 		
0.00089   	-3.18702e+01	-4.19289e+01	-2.44573e+01		         0.00000	1.24000e+02	
0.01787   	-3.05616e+01	-4.13837e+01	-2.43204e+01		         0.00167	1.53000e+02	
0.03485   	-2.96898e+01	-4.11040e+01	-2.24405e+01		         0.00333	1.84000e+02	
0.05183   	-3.06614e+01	-4.08349e+01	-2.00608e+01		         0.00500	2.14000e+02	
0.06881   	-3.04384e+01	-3.96957e+01	-2.34808e+01		         0.00667	2.43000e+02	
0.08579   	-3.05705e+01	-3.88457e+01	-2.71265e+01		         0.00833	2.70000e+02	
0.10277   	-3.02305e+01	-3.95487e+01	-2.61777e+01		         0.01000	2.92000e+02	
0.11975   	-2.98506e+01	-3.99229e+01	-2.74827e+01		         0.01167	3.10000e+02	
0.13673   	-2.98416e+01	-3.94164e+01	-2.70718e+01		         0.01333	3.22000e+02	
0.15371   	-2.99204e+01	-4.09502e+01	-2.85219e+01		         0.01500	3.28000e+02	
0.17069   	-3.07086e+01	-3.95866e+01	-2.75088e+01		         0.01667	3.26000e+02	
0.18767   	-3.12878e+01	-4.09224e+01	-2.69791e+01		         0.01833	3.17000e+02	
0.20465   	-3.14478e+01	-4.17607e+01	-2.95834e+01		         0.02000	3.01000e+02	
0.22163   	-3.05958e+01	-4.22054e+01	-3.23743e+01		         0.02167	2.78000e+02	
0.23861   	-3.05307e+01	-4.44080e+01	-3.39776e+01		         0.02333	2.49000e+02	
0.25559   	-3.06182e+01	-4.42634e+01	-3.62167e+01		         0.02500	2.14000e+02	
0.27257   	-3.10523e+01	-4.46713e+01	-3.49025e+01		         0.02667	1.75000e+02	
0.28969   	-3.18028e+01	-4.59304e+01	-3.55970e+01		         0.02833	1.34000e+02	
0.30653   	-3.28846e+01	-4.64143e+01	-3.62813e+01		         0.03000	9.20000e+01	
0.32351   	-3.49332e+01	-4.64357e+01	-3.77555e+01		         0.03167	5.00000e+01	
0.34049   	-3.60143e+01	-4.60760e+01	-3.93197e+01		         0.03333	1.00000e+01	
0.35747   	-3.70750e+01	-4.70020e+01	-4.00682e+01		         0.03500	-2.70000e+01	
0.37445   	-3.72136e+01	-4.69192e+01	-4.13059e+01		         0.03667	-6.00000e+01	
0.39143   	-3.68195e+01	-4.68190e+01	-4.25924e+01		         0.03833	-8.90000e+01	
0.40841   	-3.64410e+01	-4.65898e+01	-4.29566e+01		         0.04000	-1.13000e+02	
0.42539   	-3.60586e+01	-4.71547e+01	-4.37129e+01		         0.04167	-1.32000e+02	
0.44237   	-3.60584e+01	-4.56735e+01	-4.08539e+01		         0.04333	-1.45000e+02	
0.45935   	-3.41884e+01	-4.63901e+01	-3.71343e+01		         0.04500	-1.53000e+02	
0.47633   	-3.19593e+01	-4.72449e+01	-3.75606e+01		         0.04667	-1.57000e+02	
0.49331   	-3.05422e+01	-4.59624e+01	-3.61070e+01		         0.04833	-1.57000e+02	
0.51029   	-2.85465e+01	-4.51672e+01	-3.42683e+01		         0.05000	-1.54000e+02	
0.52727   	-2.81059e+01	-4.54802e+01	-3.56764e+01		         0.05167	-1.49000e+02	
0.54425   	-2.82860e+01	-4.51034e+01	-3.36778e+01		         0.05333	-1.42000e+02	
0.56123   	-2.93977e+01	-4.46067e+01	-3.57647e+01		         0.05500	-1.34000e+02	
0.57821   	-3.20610e+01	-4.29721e+01	-3.52154e+01		         0.05667	-1.25000e+02	
0.59519   	-3.31714e+01	-4.25560e+01	-3.55192e+01		         0.05833	-1.17000e+02	
0.61217   	-3.39822e+01	-4.27987e+01	-3.59200e+01		         0.06000	-1.08000e+02	
0.62915   	-3.37770e+01	-4.42384e+01	-3.48100e+01		         0.06167	-1.00000e+02	
0.64613   	-3.34362e+01	-4.28838e+01	-3.01570e+01		         0.06333	-9.30000e+01	
0.66311   	-3.31722e+01	-4.35432e+01	-2.33646e+01		         0.06500	-8.60000e+01	
0.68009   	-3.29186e+01	-4.36094e+01	-1.86498e+01		         0.06667	-8.10000e+01	
0.69707   	-3.28123e+01	-4.32744e+01	-1.92919e+01		         0.06833	-7.50000e+01	
0.71405   	-3.25146e+01	-4.23506e+01	-2.30441e+01		         0.07000	-7.10000e+01	
0.73103   	-3.24370e+01	-4.31627e+01	-2.64608e+01		         0.07167	-6.70000e+01	
0.74801   	-3.25500e+01	-4.34245e+01	-3.04752e+01		         0.07333	-6.40000e+01	
0.76499   	-3.28137e+01	-4.30252e+01	-3.27722e+01		         0.07500	-6.10000e+01	
0.78197   	-3.30303e+01	-4.41231e+01	-3.14003e+01		         0.07667	-5.80000e+01	
0.79895   	-3.33269e+01	-4.30843e+01	-2.44350e+01		         0.07833	-5.60000e+01	
0.81593   	-3.32789e+01	-4.24818e+01	-2.27513e+01		         0.08000	-5.30000e+01	
0.83291   	-3.31051e+01	-4.27175e+01	-2.77870e+01		         0.08167	-5.10000e+01	
0.84989   	-3.27960e+01	-4.21015e+01	-2.86121e+01		         0.08333	-4.90000e+01	
0.86687   	-3.25913e+01	-4.25703e+01	-2.86429e+01		         0.08500	-4.70000e+01	
0.88385   	-3.23342e+01	-4.21362e+01	-2.86504e+01		         0.08667	-4.60000e+01	
0.90083   	-3.24877e+01	-4.18314e+01	-2.66914e+01		         0.08833	-4.50000e+01	
0.91781   	-3.15566e+01	-4.40635e+01	-2.37119e+01		         0.09000	-4.40000e+01	
0.93479   	-3.27572e+01	-4.30904e+01	-2.55408e+01		         0.09167	-4.30000e+01	
0.95177   	-3.26788e+01	-4.34696e+01	-3.04254e+01		         0.09333	-4.20000e+01	
0.96875   	-3.23797e+01	-4.34662e+01	-2.96256e+01		         0.09500	-4.10000e+01	
0.98573   	-3.12946e+01	-4.28481e+01	-2.97301e+01		         0.09667	-4.10000e+01	
1.00271   	-3.05965e+01	-4.19482e+01	-2.88525e+01		         0.09833	-4.00000e+01	
1.01969   	-3.29439e+01	-4.23106e+01	-2.30730e+01		         0.10000	-3.90000e+01	
1.03683   	-3.37820e+01	-4.23281e+01	-2.38398e+01		         0.10167	-3.80000e+01	
1.05365   	-3.35473e+01	-4.15455e+01	-2.44870e+01		         0.10333	-3.70000e+01	
1.07063   	-3.24812e+01	-4.12974e+01	-2.51326e+01		         0.10500	-3.60000e+01	
1.08761   	-3.12997e+01	-4.16720e+01	-2.33433e+01		         0.10667	-3.40000e+01	
1.10459   	-3.18894e+01	-4.25522e+01	-1.81718e+01		         0.10833	-3.30000e+01	
1.12157   	-3.15844e+01	-4.05384e+01	-1.82639e+01		         0.11000	-3.10000e+01	
1.13855   	-3.27733e+01	-4.32666e+01	-1.81857e+01		         0.11167	-2.90000e+01	
1.15553   	-3.37298e+01	-4.38573e+01	-1.71339e+01		         0.11333	-2.80000e+01	
1.17251   	-3.47557e+01	-4.43216e+01	-1.66731e+01		         0.11500	-2.60000e+01	
1.18950   	-3.50967e+01	-4.46599e+01	-1.74900e+01		         0.11667	-2.40000e+01	
1.20647   	-3.51756e+01	-4.30682e+01	-2.02504e+01		         0.11833	-2.30000e+01	
1.22345   	-3.47314e+01	-4.45792e+01	-2.67531e+01		         0.12000	-2.10000e+01	
1.24043   	-3.44201e+01	-4.45444e+01	-3.17070e+01		         0.12167	-2.00000e+01	
1.25741   	-3.48763e+01	-4.41572e+01	-3.41340e+01		         0.12333	-2.00000e+01	
1.27439   	-3.44903e+01	-4.42205e+01	-3.76096e+01		         0.12500	-1.90000e+01	
1.29137   	-3.49010e+01	-4.71681e+01	-3.67394e+01		         0.12667	-1.80000e+01	
1.30835   	-3.56393e+01	-4.76234e+01	-3.69008e+01		         0.12833	-1.80000e+01	
1.32533   	-3.58149e+01	-4.79541e+01	-3.68003e+01		         0.13000	-1.80000e+01	
1.34231   	-3.60335e+01	-4.75344e+01	-3.57434e+01		         0.13167	-1.70000e+01	
1.35929   	-3.77704e+01	-4.83048e+01	-3.70348e+01		         0.13333	-1.70000e+01	
1.37627   	-3.91748e+01	-4.77360e+01	-3.77538e+01		         0.13500	-1.70000e+01	
1.39325   	-3.99711e+01	-4.87821e+01	-3.72659e+01		         0.13667	-1.70000e+01	
1.41023   	-4.01844e+01	-4.90797e+01	-3.69830e+01		         0.13833	-1.70000e+01	
1.42721   	-4.01219e+01	-4.81081e+01	-3.96246e+01		         0.14000	-1.70000e+01	
1.44419   	-4.10803e+01	-4.85601e+01	-3.94198e+01		         0.14167	-1.70000e+01	
1.46117   	-4.07164e+01	-4.80803e+01	-4.24066e+01		         0.14333	-1.70000e+01	
1.47815   	-4.08515e+01	-4.75276e+01	-4.22450e+01		         0.14500	-1.70000e+01	
1.49513   	-3.90704e+01	-4.75088e+01	-4.04061e+01		         0.14667	-1.70000e+01	
1.51211   	-3.86874e+01	-4.87846e+01	-3.96715e+01		         0.14833	-1.70000e+01	
1.52909   	-3.71247e+01	-4.76387e+01	-3.73881e+01		         0.15000	-1.70000e+01	
1.54607   	-3.54257e+01	-4.81701e+01	-3.55505e+01		         0.15167	-1.70000e+01	
1.56305   	-3.37976e+01	-4.81269e+01	-3.62851e+01		         0.15333	-1.60000e+01	
1.58003   	-3.39203e+01	-4.80730e+01	-3.51618e+01		         0.15500	-1.60000e+01	
1.59701   	-3.28855e+01	-4.71113e+01	-3.58248e+01		         0.15667	-1.50000e+01	
1.61399   	-3.31711e+01	-4.54929e+01	-3.69115e+01		         0.15833	-1.50000e+01	
1.63097   	-3.57963e+01	-4.45420e+01	-3.63203e+01		         0.16000	-1.40000e+01	
1.64795   	-3.61609e+01	-4.28179e+01	-3.86097e+01		         0.16167	-1.30000e+01	
1.66493   	-3.67343e+01	-4.32675e+01	-4.13866e+01		         0.16333	-1.20000e+01	
1.68191   	-3.59213e+01	-4.35852e+01	-3.91919e+01		         0.16500	-1.10000e+01	
1.69889   	-3.61230e+01	-4.35989e+01	-3.78223e+01		         0.16667	-1.00000e+01	
