Grayscale intensity, in dB

Time (s) :	Trace 1 : 	Trace 2 : 	Trace 3 : 		Ecg : 		
0.00039   	-3.24410e+01	-4.00671e+01	-3.94369e+01		         0.00000	-1.90000e+01	
0.01737   	-3.21079e+01	-4.08743e+01	-4.15662e+01		         0.00167	-8.00000e+00	
0.03435   	-3.18476e+01	-4.24400e+01	-3.76301e+01		         0.00333	7.00000e+00	
0.05133   	-3.16053e+01	-4.37135e+01	-3.84688e+01		         0.00500	2.60000e+01	
0.06831   	-3.28460e+01	-4.52977e+01	-3.95588e+01		         0.00667	4.90000e+01	
0.08530   	-3.37926e+01	-4.20241e+01	-3.51868e+01		         0.00833	7.50000e+01	
0.10228   	-3.46522e+01	-4.21541e+01	-3.53564e+01		         0.01000	1.05000e+02	
0.11925   	-3.34951e+01	-4.13134e+01	-3.34954e+01		         0.01167	1.37000e+02	
0.13623   	-3.24129e+01	-3.88919e+01	-3.52543e+01		         0.01333	1.71000e+02	
0.15321   	-3.21638e+01	-4.05837e+01	-3.46031e+01		         0.01500	2.05000e+02	
0.17019   	-3.22889e+01	-4.05396e+01	-3.49728e+01		         0.01667	2.37000e+02	
0.18717   	-3.24537e+01	-3.25013e+01	-3.76935e+01		         0.01833	2.67000e+02	
0.20415   	-3.24132e+01	-3.10197e+01	-4.05073e+01		         0.02000	2.92000e+02	
0.22113   	-3.23207e+01	-3.26705e+01	-4.10667e+01		         0.02167	3.11000e+02	
0.23811   	-3.25585e+01	-3.20770e+01	-4.13040e+01		         0.02333	3.24000e+02	
0.25509   	-3.31004e+01	-3.25086e+01	-4.09622e+01		         0.02500	3.30000e+02	
0.27207   	-3.28284e+01	-3.06728e+01	-3.99301e+01		         0.02667	3.29000e+02	
0.28905   	-3.28648e+01	-3.41718e+01	-4.07170e+01		         0.02833	3.21000e+02	
0.30603   	-3.27975e+01	-3.68962e+01	-4.00454e+01		         0.03000	3.05000e+02	
0.32301   	-3.24759e+01	-3.91504e+01	-4.19368e+01		         0.03167	2.83000e+02	
0.33999   	-3.21187e+01	-4.06067e+01	-4.01756e+01		         0.03333	2.55000e+02	
0.35697   	-3.18738e+01	-4.00233e+01	-3.92266e+01		         0.03500	2.22000e+02	
0.37395   	-3.19435e+01	-4.03495e+01	-3.99163e+01		         0.03667	1.86000e+02	
0.39093   	-3.19784e+01	-4.03207e+01	-3.96444e+01		         0.03833	1.49000e+02	
0.40791   	-3.16921e+01	-3.99325e+01	-3.89638e+01		         0.04000	1.12000e+02	
0.42489   	-3.19052e+01	-3.95379e+01	-3.97974e+01		         0.04167	7.60000e+01	
0.44187   	-3.20944e+01	-3.81594e+01	-3.90232e+01		         0.04333	4.10000e+01	
0.45885   	-3.26820e+01	-3.75462e+01	-4.15482e+01		         0.04500	9.00000e+00	
0.47583   	-3.26301e+01	-3.70470e+01	-4.18269e+01		         0.04667	-2.00000e+01	
0.49281   	-3.22698e+01	-3.65744e+01	-4.13827e+01		         0.04833	-4.60000e+01	
