Grayscale intensity, in dB

Time (s) :	Trace 1 : 	Trace 2 : 	Trace 3 : 		Ecg : 		
0.00123   	-1.73844e+01	-3.90593e+01	-2.51162e+01		         0.00000	2.27000e+02	
0.01929   	-1.75515e+01	-4.04105e+01	-2.40720e+01		         0.00167	2.42000e+02	
0.03735   	-1.79485e+01	-4.45434e+01	-2.26822e+01		         0.00333	2.54000e+02	
0.05541   	-2.20621e+01	-4.48383e+01	-2.07271e+01		         0.00500	2.61000e+02	
0.07346   	-1.97600e+01	-4.56043e+01	-2.18791e+01		         0.00667	2.62000e+02	
0.09154   	-1.73055e+01	-4.34428e+01	-2.20108e+01		         0.00833	2.57000e+02	
0.10958   	-1.62806e+01	-4.52942e+01	-2.13688e+01		         0.01000	2.47000e+02	
0.12765   	-1.60467e+01	-4.47407e+01	-2.27425e+01		         0.01167	2.30000e+02	
0.14570   	-1.58792e+01	-3.98584e+01	-2.32337e+01		         0.01333	2.09000e+02	
0.16376   	-1.58072e+01	-3.64913e+01	-2.42460e+01		         0.01500	1.83000e+02	
0.18182   	-1.60940e+01	-3.06019e+01	-2.45304e+01		         0.01667	1.55000e+02	
0.19987   	-1.70442e+01	-3.02440e+01	-2.64344e+01		         0.01833	1.25000e+02	
0.21793   	-2.28508e+01	-2.94135e+01	-2.35357e+01		         0.02000	9.40000e+01	
0.23599   	-2.62267e+01	-3.11000e+01	-2.88299e+01		         0.02167	6.30000e+01	
0.25404   	-2.69529e+01	-3.16361e+01	-2.62252e+01		         0.02333	3.40000e+01	
0.27210   	-2.74085e+01	-3.17052e+01	-2.62843e+01		         0.02500	7.00000e+00	
0.29018   	-2.76534e+01	-3.35883e+01	-2.61974e+01		         0.02667	-1.70000e+01	
0.30822   	-2.76621e+01	-3.64052e+01	-2.42408e+01		         0.02833	-3.90000e+01	
0.32628   	-2.79402e+01	-3.92922e+01	-2.63440e+01		         0.03000	-5.60000e+01	
0.34434   	-2.82767e+01	-3.96881e+01	-2.47049e+01		         0.03167	-7.10000e+01	
0.36240   	-2.88743e+01	-4.06638e+01	-2.12806e+01		         0.03333	-8.10000e+01	
0.38045   	-2.96612e+01	-4.02842e+01	-2.21553e+01		         0.03500	-8.80000e+01	
0.39851   	-3.07641e+01	-3.91854e+01	-2.33084e+01		         0.03667	-9.20000e+01	
0.41657   	-3.16824e+01	-3.85771e+01	-2.32315e+01		         0.03833	-9.30000e+01	
0.43462   	-3.30505e+01	-3.85816e+01	-2.42014e+01		         0.04000	-9.20000e+01	
0.45268   	-3.29760e+01	-3.65908e+01	-2.74075e+01		         0.04167	-8.90000e+01	
0.47074   	-3.17966e+01	-3.61546e+01	-2.65720e+01		         0.04333	-8.50000e+01	
0.48881   	-3.17525e+01	-3.47704e+01	-2.71814e+01		         0.04500	-8.10000e+01	
0.50685   	-3.15107e+01	-3.21662e+01	-2.74641e+01		         0.04667	-7.50000e+01	
0.52492   	-3.09310e+01	-3.11257e+01	-3.24968e+01		         0.04833	-7.00000e+01	
0.54298   	-2.96437e+01	-2.85491e+01	-3.51063e+01		         0.05000	-6.50000e+01	
0.56104   	-2.80371e+01	-2.74376e+01	-3.55865e+01		         0.05167	-6.10000e+01	
0.57909   	-2.74451e+01	-2.59866e+01	-3.53314e+01		         0.05333	-5.70000e+01	
0.59715   	-2.58067e+01	-2.74329e+01	-3.67338e+01		         0.05500	-5.40000e+01	
0.61521   	-2.09992e+01	-2.55511e+01	-3.67318e+01		         0.05667	-5.10000e+01	
0.63326   	-2.12724e+01	-2.65648e+01	-3.75461e+01		         0.05833	-4.80000e+01	
0.65132   	-2.15612e+01	-2.51384e+01	-3.67448e+01		         0.06000	-4.60000e+01	
0.66938   	-2.20884e+01	-2.59200e+01	-3.71894e+01		         0.06167	-4.50000e+01	
0.68743   	-2.25614e+01	-2.57554e+01	-3.83042e+01		         0.06333	-4.40000e+01	
0.70550   	-2.26783e+01	-2.51235e+01	-3.81334e+01		         0.06500	-4.30000e+01	
0.72356   	-2.30639e+01	-2.58495e+01	-3.82922e+01		         0.06667	-4.20000e+01	
0.74162   	-2.32623e+01	-2.53840e+01	-4.14540e+01		         0.06833	-4.10000e+01	
0.75968   	-2.31097e+01	-2.58588e+01	-4.08732e+01		         0.07000	-4.10000e+01	
0.77773   	-2.27654e+01	-2.56634e+01	-4.13214e+01		         0.07167	-4.10000e+01	
0.79579   	-2.23691e+01	-2.48871e+01	-4.20272e+01		         0.07333	-4.10000e+01	
0.81385   	-2.21802e+01	-2.49336e+01	-4.17667e+01		         0.07500	-4.10000e+01	
0.83190   	-2.20582e+01	-2.52202e+01	-4.15304e+01		         0.07667	-4.10000e+01	
0.84997   	-2.20411e+01	-2.53549e+01	-4.15950e+01		         0.07833	-4.10000e+01	
0.86802   	-2.19501e+01	-2.53549e+01	-4.18545e+01		         0.08000	-4.10000e+01	
0.88608   	-2.18231e+01	-2.53743e+01	-4.20568e+01		         0.08167	-4.10000e+01	
0.90414   	-2.19780e+01	-2.70965e+01	-4.19894e+01		         0.08333	-4.00000e+01	
0.92220   	-2.34601e+01	-3.00819e+01	-4.00615e+01		         0.08500	-4.00000e+01	
0.94026   	-2.09183e+01	-3.16334e+01	-3.61844e+01		         0.08667	-3.90000e+01	
0.95831   	-1.98204e+01	-3.07022e+01	-3.18052e+01		         0.08833	-3.90000e+01	
