Grayscale intensity, in dB

Time (s) :	Trace 1 : 	Trace 2 : 	Trace 3 : 		Ecg : 		
0.00162   	-3.79121e+01	-5.51931e+01	-3.86572e+01		         0.00000	-2.60000e+01	
0.01860   	-3.92749e+01	-6.06262e+01	-3.76527e+01		         0.00167	-2.00000e+01	
0.03558   	-3.95658e+01	-6.06258e+01	-4.14134e+01		         0.00333	-1.10000e+01	
0.05256   	-3.97874e+01	-6.03430e+01	-4.28147e+01		         0.00500	1.00000e+00	
0.06954   	-4.01819e+01	-5.87987e+01	-4.18064e+01		         0.00667	1.60000e+01	
0.08653   	-4.19470e+01	-5.47976e+01	-4.20452e+01		         0.00833	3.50000e+01	
0.10350   	-4.10159e+01	-4.52013e+01	-4.18470e+01		         0.01000	5.90000e+01	
0.12049   	-3.99713e+01	-4.71285e+01	-4.26431e+01		         0.01167	8.70000e+01	
0.13747   	-4.01338e+01	-4.70167e+01	-4.25830e+01		         0.01333	1.19000e+02	
0.15444   	-4.07113e+01	-4.91788e+01	-4.02164e+01		         0.01500	1.57000e+02	
0.17142   	-4.07376e+01	-4.86830e+01	-3.89621e+01		         0.01667	1.97000e+02	
0.18840   	-4.10983e+01	-4.86096e+01	-3.85375e+01		         0.01833	2.39000e+02	
0.20538   	-4.03367e+01	-5.19468e+01	-3.77043e+01		         0.02000	2.80000e+02	
0.22236   	-3.94061e+01	-5.33691e+01	-3.66303e+01		         0.02167	3.19000e+02	
0.23935   	-3.88862e+01	-5.54971e+01	-3.60682e+01		         0.02333	3.54000e+02	
0.25632   	-3.83448e+01	-5.75008e+01	-3.47427e+01		         0.02500	3.82000e+02	
0.27330   	-3.82393e+01	-5.74267e+01	-3.30046e+01		         0.02667	4.02000e+02	
0.29028   	-3.83241e+01	-5.84868e+01	-3.29991e+01		         0.02833	4.13000e+02	
0.30726   	-3.81119e+01	-5.91571e+01	-3.45551e+01		         0.03000	4.12000e+02	
0.32425   	-3.81638e+01	-6.05680e+01	-3.42888e+01		         0.03167	3.99000e+02	
0.34122   	-3.82822e+01	-6.17453e+01	-3.33784e+01		         0.03333	3.72000e+02	
0.35821   	-3.86582e+01	-6.15908e+01	-3.26358e+01		         0.03500	3.33000e+02	
0.37519   	-3.83816e+01	-6.13774e+01	-3.36322e+01		         0.03667	2.83000e+02	
0.39217   	-3.78248e+01	-6.19123e+01	-3.31054e+01		         0.03833	2.23000e+02	
0.40915   	-3.78159e+01	-6.18679e+01	-3.27126e+01		         0.04000	1.58000e+02	
0.42613   	-3.72425e+01	-6.07861e+01	-3.13706e+01		         0.04167	8.80000e+01	
0.44310   	-3.63898e+01	-5.97726e+01	-3.20181e+01		         0.04333	1.70000e+01	
0.46008   	-3.69520e+01	-6.13506e+01	-3.19808e+01		         0.04500	-5.10000e+01	
