Grayscale intensity, in dB

Time (s) :	Trace 1 : 	Trace 2 : 	Trace 3 : 		Ecg : 		
0.00076   	-1.85596e+01	-4.45582e+01	-4.62930e+01		         0.00000	-3.20000e+01	
0.02160   	-1.47381e+01	-4.93651e+01	-3.70283e+01		         0.00167	-3.10000e+01	
0.04244   	-1.82669e+01	-4.89342e+01	-3.28822e+01		         0.00333	-2.70000e+01	
0.06327   	-1.97974e+01	-5.00054e+01	-3.20574e+01		         0.00500	-2.10000e+01	
0.08410   	-2.04591e+01	-4.60453e+01	-2.94593e+01		         0.00667	-1.10000e+01	
0.10511   	-2.18786e+01	-3.92304e+01	-2.62726e+01		         0.00833	1.00000e+00	
0.12577   	-2.22369e+01	-3.62507e+01	-2.39968e+01		         0.01000	1.60000e+01	
0.14660   	-2.08986e+01	-3.32696e+01	-2.16788e+01		         0.01167	3.40000e+01	
0.16743   	-1.57686e+01	-3.72193e+01	-2.42947e+01		         0.01333	5.40000e+01	
0.18826   	-1.59486e+01	-4.17269e+01	-2.25783e+01		         0.01500	7.50000e+01	
0.20910   	-1.63757e+01	-4.26993e+01	-2.43443e+01		         0.01667	9.70000e+01	
0.22994   	-1.71342e+01	-4.43701e+01	-2.09544e+01		         0.01833	1.20000e+02	
0.25077   	-1.76555e+01	-4.63048e+01	-1.91216e+01		         0.02000	1.42000e+02	
0.27160   	-1.93469e+01	-4.73973e+01	-2.06489e+01		         0.02167	1.62000e+02	
0.29243   	-2.02890e+01	-4.81844e+01	-3.30707e+01		         0.02333	1.80000e+02	
0.31327   	-2.22429e+01	-4.94158e+01	-3.97201e+01		         0.02500	1.95000e+02	
0.33410   	-2.28728e+01	-4.90116e+01	-4.24138e+01		         0.02667	2.05000e+02	
0.35493   	-2.50056e+01	-5.06234e+01	-4.07734e+01		         0.02833	2.10000e+02	
0.37577   	-2.71252e+01	-4.98284e+01	-4.24045e+01		         0.03000	2.10000e+02	
0.39660   	-2.82072e+01	-4.82892e+01	-4.05437e+01		         0.03167	2.04000e+02	
0.41743   	-2.71912e+01	-4.48447e+01	-3.84355e+01		         0.03333	1.94000e+02	
0.43827   	-2.33227e+01	-4.56732e+01	-3.84679e+01		         0.03500	1.79000e+02	
0.45910   	-2.17687e+01	-4.69864e+01	-4.12870e+01		         0.03667	1.60000e+02	
0.47994   	-2.06654e+01	-4.91019e+01	-4.39391e+01		         0.03833	1.38000e+02	
